id,categorie,phrase_fr,reference,ref_pos_tree,kuma_mt,nllb,google,pos_kuma,pos_nllb,pos_google,chrf_kuma,chrf_nllb,chrf_google,ktau_kuma,ktau_nllb,ktau_google,wo_kuma,wo_nllb,wo_google,pos_exact_kuma,pos_exact_nllb,pos_exact_google,pos_chrf_kuma,pos_chrf_nllb,pos_chrf_google,kuma_back_fr,google_back_fr,nllb_back_fr,sem_kuma,sem_google,sem_nllb
11,equative_neg,il n'est pas un professeur,a tɛ porofesɛri yé,PRON AUX NOUN AUX,a tɛ porofesɛri yé,a tɛ karamɔgɔ ye,a tɛ karamɔgɔ ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,100.0,10.62,10.62,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il n'est pas professeur,il n'est pas professeur,0.0,77.55,77.55
12,equative_neg,il n'est pas un étudiant,a tɛ kàlandenba yé,PRON AUX NOUN AUX,a tɛ kàlandenba yé,a tɛ kalanden ye,a tɛ kalanden ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,100.0,42.07,42.07,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il n'est pas étudiant,il n'est pas un disciple,0.0,74.77,56.39
13,equative_neg,je ne suis pas enseignant,n tɛ karamɔgɔ yé,PRON AUX NOUN AUX,n tɛ kàramɔgɔkɛ yé,ne tɛ karamɔgɔ ye,Ne tɛ karamɔgɔ ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,47.74,80.16,78.89,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,je ne suis pas professeur,je ne suis pas un enseignant,0.0,48.69,83.7
14,equative_neg_nothing,Il n'est rien,a tɛ foyi yé,PRON AUX NOUN AUX,a tɛ foyi yé,A tɛ foyi ye,Ale tɛ foyi ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,100.0,66.81,62.88,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,Il n'est rien,Il n'y a rien,0.0,100.0,34.4
15,equative_neg,ce n'est pas vrai,o tɛ tiɲɛ yé,PRON AUX NOUN AUX,bɛ́rɛ tɛ,o tɛ tiɲɛ ye,nin tɛ tiɲɛ ye,NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,10.2,83.41,62.88,0.0,1.0,1.0,False,True,True,0,1,1,43.1,100.0,100.0,,ce n'est pas vrai,ce n'est pas vrai,0.0,100.0,100.0
16,equative_past,il était professeur,a tùn yé porofesɛri yé,PRON AUX AUX NOUN AUX,a tùn yé porofesɛri yé,a tun ye karamɔgɔ ye,a tun ye karamɔgɔ ye,PRON AUX AUX NOUN AUX,PRON AUX AUX NOUN AUX,PRON AUX AUX NOUN AUX,100.0,8.64,8.64,0.7,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,il était professeur,c'était un enseignant,0.0,100.0,21.47
17,equative_past,j'étais étudiant,n tùn yé kalandenba yé,PRON AUX AUX NOUN AUX,n tùn yé kàlandenba yé,ne tun ye kalanden ye,Ne tun ye kalanden ye,PRON AUX AUX NOUN AUX,PRON AUX AUX NOUN AUX,PRON AUX AUX NOUN AUX,75.9,40.81,39.87,0.833,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,j'étais étudiant,j'étais un disciple,0.0,100.0,39.2
18,equative_past_neg,il n'était pas étudiant,a tùn tɛ kalandenba yé,PRON AUX AUX NOUN AUX,a tùn ma kègun,a tun tɛ kalanden ye,a tun tɛ kalanden ye,PRON AUX AUX PUNCT,PRON AUX AUX NOUN AUX,PRON AUX AUX NOUN AUX,13.74,59.57,59.57,1.0,1.0,1.0,True,True,True,0,1,1,55.57,100.0,100.0,,il n'était pas étudiant,il n'était pas un disciple,0.0,100.0,56.77
19,locative,Je suis en route,n bɛ sìra la,PRON AUX NOUN ADP,n bɛ síraden la,Ne bɛ taa,N bɛ n ka sira kan,PRON AUX NOUN ADP,PRON AUX VERB,PRON AUX PRON AUX NOUN ADP,30.5,9.95,15.69,1.0,0.0,0.0,True,True,True,1,0,0,100.0,39.79,89.01,,je suis en route,Je m'en vais,0.0,100.0,12.45
20,locative,Musa est au village,Musa bɛ dugu kɔnɔ,PROPN AUX NOUN ADP,Musa bɛ dùgu la,Musa bɛ dugu la,Musa bɛ dugu kɔnɔ,PROPN AUX NOUN ADP,PROPN AUX NOUN ADP,PROPN AUX NOUN ADP,42.85,66.78,100.0,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,Moïse est dans la ville,Moïse est dans la ville.,0.0,23.11,22.82
21,locative_plur,Les enfants sont en route,dɔgɔw bɛ sìra la,NOUN AUX NOUN ADP,dén bɛ síraden la,Denmisɛnw bɛ sira kan,Denmisɛnw bɛ sira kan,NOUN AUX NOUN ADP,PROPN AUX NOUN ADP,PROPN AUX NOUN ADP,17.05,17.76,17.76,1.0,0.0,0.0,True,True,True,1,0,0,100.0,73.22,73.22,,Les enfants sont en route,Les enfants sont dans la rue,0.0,100.0,63.64
22,locative_plur,Ils sont aux portes,u bɛ bóndaw la,PRON AUX NOUN ADP,u bɛ bóndaw la,U bɛ da la,U bɛ daaw da la,PRON AUX NOUN ADP,PRON AUX NOUN ADP,PRON AUX X NOUN ADP,100.0,15.24,17.27,1.0,1.0,1.0,True,True,True,1,1,0,100.0,100.0,81.76,,Ils sont aux portes,Ils sont à la porte,0.0,100.0,51.19
23,locative,je suis à la maison,n bɛ so la,PRON AUX NOUN ADP,n bɛ só la,ne bɛ so,N bɛ so kɔnɔ,PRON AUX NOUN ADP,PRON AUX NOUN,PRON AUX NOUN ADP,36.23,32.22,29.05,1.0,1.0,1.0,True,True,True,1,0,1,100.0,77.45,100.0,,je suis à la maison,je suis à la maison,0.0,100.0,100.0
24,locative_plur,nous sommes au marché,anw bɛ súgu la,PRON AUX NOUN ADP,anw bɛ súgu la,an bɛ sugu la,an bɛ sugu la,PRON AUX NOUN ADP,NOUN AUX NOUN ADP,NOUN AUX NOUN ADP,100.0,31.91,31.91,1.0,1.0,1.0,True,True,True,1,0,0,100.0,74.51,74.51,,nous sommes sur le marché,nous sommes sur le marché,0.0,67.71,67.71
25,locative,il est au champ,a bɛ foro la,PRON AUX NOUN ADP,a bɛ fòro la,a bɛ foro la,a bɛ foro la,PRON AUX NOUN ADP,PRON AUX NOUN ADP,PRON AUX NOUN ADP,42.39,100.0,100.0,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il est sur le terrain,il est dans un champ,0.0,24.27,46.79
26,locative,elle est à l'école,a bɛ lakɔli la,PRON AUX NOUN ADP,a bɛ kàlankɛyɔrɔ la,a bɛ lakɔli la,a bɛ lakɔli la,PRON AUX NOUN ADP,PRON AUX NOUN ADP,PRON AUX NOUN ADP,21.74,100.0,100.0,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il est à l'école,il est à l'école,0.0,72.01,72.01
27,locative_neg,il n'est pas à la maison,a tɛ so la,PRON AUX NOUN ADP,a tɛ só la,a tɛ so kɔnɔ,a tɛ so kɔnɔ,PRON AUX NOUN ADP,PRON AUX NOUN ADP,PRON AUX NOUN ADP,36.23,43.47,43.47,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il n'est pas dans la maison,il n'est pas à la maison,0.0,74.77,100.0
28,locative_neg,je ne suis pas au marché,n tɛ súgu la,PRON AUX NOUN ADP,n tɛ súgu la,ne tɛ sugu la,N tε sugu la,PRON AUX NOUN ADP,PRON AUX NOUN ADP,PRON X NOUN ADP,100.0,34.29,24.9,1.0,1.0,1.0,True,True,False,1,1,0,100.0,100.0,61.63,,je ne suis pas sur le marché,je ne suis pas au marché,0.0,69.71,100.0
29,qualitative,je suis belle,n ka ɲuman,PRON AUX ADJ,n ka ɲùman,ne cɛ ka ɲi,Ne cɛ ka ɲi,PRON AUX ADJ,PRON NOUN ADP VERB,PRON NOUN ADP VERB,38.15,15.87,13.79,1.0,0.0,0.0,False,False,False,1,0,0,100.0,24.73,24.73,,je suis belle,mon homme est beau,0.0,100.0,11.56
30,qualitative,le cheval est rapide,sòn ka téliman,VERB ADP VERB,nkólonso ka téli,so bɛ teliya,sow bɛ teliya,X X VERB,NOUN AUX PUNCT,NOUN AUX PUNCT,38.82,8.76,8.61,0.0,0.0,0.0,False,True,True,0,0,0,18.8,2.98,2.98,,les chevaux sont plus rapides,la maison s'accélère,0.0,42.79,8.72
31,qualitative,La maison est loin,so ka jàn,NOUN ADP VERB,só ka póroo,So bɛ yɔrɔ jan,So yɔrɔ ka jan,NOUN ADP VERB,PROPN AUX NOUN PUNCT,PROPN NOUN ADP VERB,11.61,8.55,18.47,0.0,0.0,1.0,False,True,False,1,0,0,100.0,20.6,89.23,,La maison est loin,La maison est loin,0.0,100.0,100.0
32,qualitative_plur,Les maisons sont loin,sow ka jàn,X X VERB,sów ka póroo,Sow bɛ yɔrɔ jan,Sow yɔrɔ ka jan,X X VERB,PROPN AUX NOUN PUNCT,X NOUN ADP VERB,17.03,11.61,20.23,0.0,0.0,1.0,False,True,False,1,0,0,100.0,4.07,30.15,,Les maisons sont loin,Les maisons sont éloignées,0.0,100.0,75.72
33,qualitative,l'eau est chaude,jí ka bɛ̀lɛ,NOUN ADP VERB,jí ka gòni,ji bɛ funteni na,ji ka suma,NOUN ADP VERB,NOUN AUX AUX ADP,NOUN AUX VERB,21.76,8.7,7.82,1.0,0.0,0.0,False,True,False,1,0,0,100.0,33.17,43.19,,,l'eau est chaude,0.0,0.0,100.0
34,qualitative,la route est longue,sìra ka télé,NOUN ADP VERB,síraden ka búlubulu,sira ka jan,sira ka jan,X X PUNCT,NOUN ADP VERB,NOUN ADP VERB,11.98,20.91,20.91,0.0,0.0,0.0,False,False,False,0,1,1,6.71,100.0,100.0,,la route est longue,le chemin est long,0.0,100.0,35.88
35,qualitative_neg,tu n'es pas bien,i mán ɲuman,PRON AUX ADJ,i man kóɲuman,i ka kɛnɛ tɛ,aw tɛ kɛnɛya la,PRON AUX PUNCT,PRON AUX ADJ AUX,PRON AUX NOUN ADP,39.17,5.56,3.47,0.0,0.0,0.0,False,False,True,0,0,0,54.8,92.32,56.98,,tu n'es pas en bonne santé,ta lumière n'est pas,0.0,57.48,26.88
36,qualitative_neg,la maison n'est pas grande,so mán bàrika,NOUN AUX PUNCT,só man bòn,so tɛ bonba ye,so man bon,NOUN AUX VERB,NOUN AUX PRON AUX,NOUN AUX VERB,9.79,10.91,16.92,0.0,0.0,0.0,False,True,False,0,0,0,46.54,56.86,46.54,,donc l'homme est bon,la maison n'est pas grande,0.0,12.11,100.0
37,qualitative_past,la route était longue,sìra tùn ka télé,NOUN AUX X VERB,síraden tùn ka búlubulu,sira tun ka jan,sira tun ka jan,NOUN AUX X PUNCT,NOUN AUX X VERB,NOUN AUX X VERB,25.2,17.85,17.85,1.0,0.0,0.0,False,False,False,0,1,1,55.28,100.0,100.0,,la route était longue,le chemin a été long,0.0,100.0,17.71
38,qualitative_past_neg,il n'était pas bien,a tùn mán ɲuman,PRON AUX AUX ADJ,a tùn ma kóɲuman,a tun man ɲi,a tun man kɛnɛ,PRON AUX AUX PUNCT,PRON AUX AUX PUNCT,PRON AUX AUX ADJ,46.68,21.48,19.17,1.0,0.0,0.0,True,False,False,0,0,1,68.02,68.02,100.0,,il n'était pas en bonne santé,il n'était pas bon,0.0,66.3,79.65
39,statif,je suis sûre de ça,n lalen dòn à la,PRON NOUN AUX PRON ADP,n [sûr]len dòn o o in la,ne jɛyalen bɛ a la,N dalen b'o la,PRON NOUN AUX DET DET DET ADP,PRON NOUN AUX PRON ADP,PRON VERB NOUN ADP,38.95,20.24,21.36,1.0,0.0,1.0,True,True,False,0,1,0,56.46,100.0,34.09,,j'y crois,"J'ai confiance en lui,",0.0,6.62,7.86
40,statif_plur,Les maisons sont sûres,sow lalen dòn,PUNCT PUNCT AUX,sów [sûr]len dòn,Bonw bɛ se ka kɛ yɔrɔ ɲumanw ye,Sow lakananen don,PUNCT NOUN AUX,PROPN AUX VERB AUX VERB NOUN X AUX,PUNCT NOUN AUX,39.04,8.58,26.02,0.0,0.0,0.0,False,True,False,0,0,0,34.38,14.08,34.38,,Les bâtiments sont sécuritaires,Les maisons peuvent être de bons endroits,0.0,32.41,46.03
41,past_intransitive,C'est cuit,o mɔnna,PRON VERB,o jàlanna,A bɛ tobi,A tobilen don,PRON VERB,PRON AUX VERB,PRON X AUX,20.38,2.69,7.14,0.0,0.0,0.0,False,True,False,1,0,0,100.0,44.74,24.37,,C'est cuit pour,Il cuisine,0.0,88.6,15.81
42,past_intransitive_plur,Les viandes sont cuites,sɔgɔw mɔnna,PUNCT PUNCT,sògow bàsabasalen dòn,Dumuni bɛ tobi,Sogow bɛ tobi,PUNCT X AUX,PROPN AUX VERB,PROPN AUX VERB,8.47,3.21,3.27,0.0,0.0,0.0,False,True,True,0,0,0,31.97,6.41,6.41,,La viande est cuite,La nourriture est cuite,0.0,43.76,27.65
43,past_intransitive,il est parti,o fáɲira,PRON VERB,a táara,a taara,a bɔra yen,PRON VERB,PRON VERB,PRON VERB ADV,10.23,7.78,7.32,0.0,0.0,0.0,False,False,False,1,1,0,100.0,100.0,89.56,,il a été expulsé de là,Alors il s'en alla.,0.0,11.84,10.56
44,past_intransitive,elle est tombée,a bɛnna,PRON VERB,a wɔ̀lɔwɔlɔra,a binna,a binna,PRON VERB,PRON VERB,PRON VERB,4.63,28.06,28.06,0.0,0.0,0.0,False,False,False,1,1,1,100.0,100.0,100.0,,il est tombé,il est tombé,0.0,57.0,57.0
45,past_intransitive_plur,ils sont arrivés,ùw sera,NOUN VERB,u séra,u sera,u sera yen,PRON VERB,PRON VERB,PRON VERB ADV,14.51,44.0,32.19,0.0,0.0,0.0,False,False,False,0,0,0,41.19,41.19,37.59,,ils y sont arrivés,ils sont arrivés,0.0,79.46,100.0
46,past_transitive,Musa a mangé le riz,Musa yé màlo dún,PROPN AUX NOUN PART,Musa yé iri dún,Musa ye shɛfan dun,Musa ye tiga dun,PROPN AUX X PART,PROPN AUX NOUN PART,PROPN AUX NOUN PART,40.35,23.45,24.26,1.0,0.0,0.0,True,False,False,0,1,1,53.24,100.0,100.0,,Moïse a mangé le riz,Moïse mangea de l'herbe sauvage,0.0,68.51,19.9
47,past_transitive,J'ai acheté des pagnes,n yé fìníw sàn,PRON AUX NOUN PUNCT,n yé kɔ̀baw sàn,Ne ye fini dɔw san,N ye wuluwuluw san,PRON AUX X PUNCT,PRON AUX X DET PUNCT,PRON AUX NOUN PUNCT,26.05,10.19,7.19,1.0,0.0,0.0,True,False,False,0,0,1,51.64,49.41,100.0,,j'ai acheté des plumes,J'ai acheté des vêtements,0.0,72.05,63.57
48,past_transitive,tu as vu l'homme,i yé cɛ yé,PRON AUX NOUN AUX,i yé mɔ̀gɔ yé,i ye nin cɛ ye,i ye cɛ in ye,PRON AUX NOUN AUX,PRON AUX DET NOUN AUX,PRON AUX NOUN X AUX,21.52,21.52,16.47,0.667,1.0,1.0,True,False,False,1,0,0,100.0,71.8,79.46,,tu es le gars,est-ce que tu es cet homme,0.0,9.53,24.83
49,past_transitive,elle a bu de l'eau,a yé jí mìn,PRON AUX NOUN DET,a yé jí jí,a ye ji min,a ye ji min,PRON AUX NOUN NOUN,PRON AUX NOUN DET,PRON AUX NOUN DET,40.45,12.8,12.8,0.833,0.0,0.0,True,False,False,0,1,1,72.05,100.0,100.0,,il a bu de l'eau,il a bu de l'eau,0.0,68.0,68.0
50,past_transitive_plur,nous avons mangé le riz,anw yé màlo dún,PRON AUX NOUN PART,anw yé iri dún,an ye arisi dun,an ye tiga dun,PRON AUX X PART,PRON AUX NOUN PART,PRON AUX NOUN PART,33.29,8.46,8.61,1.0,0.0,0.0,True,False,False,0,1,1,49.01,100.0,100.0,,nous avons mangé du riz,nous avons mangé du riz,0.0,74.83,74.83
51,past_transitive_plur,ils ont construit la maison,ùw yé so lá,NOUN AUX NOUN ADP,u yé só màsègin,u ye so jɔ,u ye so jɔ,PRON AUX NOUN PUNCT,PRON AUX NOUN VERB,PRON AUX NOUN VERB,12.41,8.86,8.86,0.0,0.0,0.0,True,False,False,0,0,0,50.95,48.18,48.18,,ils ont construit la maison,ils ont construit une maison,0.0,100.0,76.45
52,relative_topic,L'homme que tu as vu hier est parti,"i yé cɛ mìn yé kúnùn, o fáɲira",PRON AUX NOUN X AUX X PRON VERB,"i yé mɔ̀gɔ mìn yé kúnùn, o táara","I ye cɛ min ye kunu, o taara","I ye cɛ min ye kunun, o tɛ yen tugun",PRON AUX NOUN X AUX X PRON VERB,PRON AUX NOUN X AUX X PRON VERB,PRON AUX NOUN X AUX X PRON AUX ADV PUNCT,52.37,14.25,13.59,0.8,1.0,1.0,True,False,True,1,1,0,100.0,100.0,76.95,,L'homme que tu as vu hier est parti,L'homme que tu as vu hier est parti,0.0,100.0,100.0
53,noun_phrase_have_material,J'ai de l'argent,wárí bɛ n bóló,NOUN AUX PRON ADP,wári bɛ n fɛ,wari bɛ ne fɛ,Wari bɛ ne bolo,NOUN AUX PRON ADP,NOUN AUX PRON ADP,PROPN AUX PRON ADP,20.26,13.01,14.01,1.0,0.0,0.0,True,True,True,1,1,0,100.0,100.0,73.22,,j'ai l'argent,j'ai de l'argent avec moi,0.0,61.63,89.01
54,noun_phrase_have_material,il a une voiture,[voiture] bɛ a bóló,NOUN AUX PRON ADP,wátiri bɛ a bóló,mobili bɛ a fɛ,mobili b' a bolo,NOUN AUX PRON ADP,NOUN AUX PRON ADP,X AUX PRON ADP,36.96,11.44,7.65,1.0,1.0,0.0,True,True,False,1,1,0,100.0,100.0,68.03,,il a une voiture,il a une voiture avec lui,0.0,100.0,88.07
55,noun_phrase_have_material_plur,Ils ont des voitures,móbiliw bɛ ùw bóló,NOUN AUX X ADP,wátiriw bɛ u bóló,Mobiliw bɛ u fɛ,Mobiliw b’u bolo,NOUN AUX PRON ADP,PROPN AUX PRON ADP,PUNCT X ADP,26.54,36.5,29.28,1.0,0.0,0.0,True,True,False,0,0,0,56.77,27.43,22.45,,Ils ont des voitures,Ils ont des voitures,0.0,100.0,100.0
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,NOUN AUX PRON ADP,pága bɛ i bóló,npan b'i bolo,i bɛ ni muru ye,NOUN AUX PRON ADP,PUNCT X ADP,PRON AUX X NOUN AUX,50.9,7.73,14.09,1.0,0.0,-1.0,True,False,True,1,0,0,100.0,14.66,56.73,,tu as un couteau,tu as une épée à la main,0.0,100.0,31.23
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,NOUN PRON AUX PRON ADP PUNCT,i bɛ saan jùmɛn la ?,I bɛ san jumɛnw na?,I ye san joli ye?,PRON AUX X X ADP PUNCT,PRON AUX NOUN PUNCT PUNCT,PRON AUX NOUN PRON PUNCT,13.74,9.05,9.3,0.333,-1.0,0.0,True,True,False,0,0,0,50.64,46.15,61.05,,Quel âge as-tu?,Quel âge as-tu ?,0.0,100.0,100.0
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,X AUX PRON ADP,wári tɛ a fɛ,wari tɛ a fɛ,wari t' a bolo,X AUX PRON ADP,X AUX PRON ADP,PART VERB PRON ADP,20.26,13.27,10.76,1.0,1.0,0.0,True,True,False,1,1,0,100.0,100.0,47.99,,il n'a pas d'argent,il n'a pas d'argent,0.0,76.8,76.8
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,NOUN AUX PRON ADP,bálimakɛ bɛ n fɛ,Balimacɛ dɔ bɛ ne fɛ,Balimakɛ dɔ bɛ ne fɛ,NOUN AUX PRON ADP,PROPN NOUN AUX PRON ADP,PROPN NOUN AUX PRON ADP,100.0,26.08,41.38,1.0,1.0,1.0,True,True,True,1,0,0,100.0,91.88,91.88,,j'ai un frère avec moi,J'ai un frère avec moi.,0.0,85.58,83.87
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,NOUN AUX PRON ADP,bɔ́lɔ bɛ n fɛ,Ne dɔgɔmuso bɛ yen.,Balimamuso dɔ bɛ n bolo,NOUN AUX PRON ADP,PRON NOUN AUX PUNCT,PROPN NOUN AUX PRON ADP,22.34,27.3,48.05,1.0,0.0,1.0,True,True,True,1,0,0,100.0,57.59,91.88,,j'ai une belle-sœur,Il y a ma sœur.,0.0,59.72,19.88
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,NOUN AUX PRON ADP,bálimakɛw ni Bátàw bɛ n fɛ,Balimaw ni balimamusow bɛ ne fɛ,Balimakɛw ni balimamusow bɛ ne fɛ,X ADP PROPN AUX PRON ADP,PART ADP NOUN AUX PRON ADP,X ADP NOUN AUX PRON ADP,58.74,34.38,28.08,1.0,1.0,1.0,True,True,True,0,0,0,68.52,89.01,93.39,,J'ai des frères et sœurs,Il y a aussi des frères et sœurs qui sont avec moi.,0.0,100.0,67.97
62,volitif,J'aime manger,n bɛ dún fɛ,PRON AUX PART ADP,n bɛ kànuya ka dúnli kɛ,Dumuni ka di ne ye,Dumuni ka di n ye,PRON AUX X X NOUN VERB,PROPN X VERB PRON AUX,PROPN X VERB PRON AUX,23.26,5.43,5.56,1.0,0.0,0.0,True,False,False,0,0,0,37.04,39.32,39.32,,J'aime la nourriture,J'aime la nourriture,0.0,37.36,37.36
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,NOUN AUX PRON ADP,tère bɛ a fɛ,a ye numuya ye,a ye hɛrɛ sɔrɔ,NOUN AUX PRON ADP,PRON AUX NOUN AUX,PRON AUX NOUN VERB,19.04,6.75,6.67,1.0,0.0,0.0,True,False,False,1,0,0,100.0,57.68,41.42,,il était en paix,il est doux,0.0,9.08,6.95
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,NOUN AUX PRON ADP,bálimakɛ tɛ a fɛ,balimakɛ tɛ a fɛ,balimakɛ t'a fɛ,NOUN AUX PRON ADP,NOUN AUX PRON ADP,PUNCT X ADP,100.0,81.71,50.69,1.0,1.0,0.0,True,True,False,1,1,0,100.0,100.0,14.66,,il n'a pas de frère,Il n'a pas de frère,0.0,75.09,75.09
65,existential_absolute,Il y'a du pain,búuru bɛ,NOUN AUX,búuru bɛ,Dumuni bɛ yen,Buru bɛ ​​yen,NOUN AUX,PROPN AUX ADV,PROPN AUX PUNCT,100.0,11.0,40.57,1.0,0.0,0.0,False,True,True,1,0,0,100.0,27.29,32.13,,Il y a du pain,Il y a de la nourriture,0.0,62.05,18.09
66,existential_absolute,il y a un problème,[problème] bɛ,NOUN AUX,gìrigara bɛ,gɛlɛya dɔ bɛ yen,gɛlɛya dɔ bɛ yen,NOUN AUX,VERB NOUN AUX ADV,VERB NOUN AUX ADV,5.88,6.95,6.95,0.0,0.0,0.0,False,True,True,1,0,0,100.0,75.19,75.19,,il y a un problème,il y a un problème,0.0,100.0,100.0
