#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,i yé pága yé,FAIL
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,i bɛ saan jùmɛn la ?,FAIL
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,a tɛ wári yé,FAIL
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,n yé bálimakɛ yé,FAIL
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,n yé bɔ́lɔ yé,FAIL
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,n yé bálimakɛw yé,FAIL
62,volitif,J'aime manger,n bɛ dún fɛ,n bɛ kànu ka dúnli kɛ,FAIL
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,a yé tère yé,FAIL
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,a tɛ bálimakɛ yé,FAIL
65,existential_absolute,Il y'a du pain,búuru bɛ,yé tákùla yé,FAIL
66,existential_absolute,il y a un problème,[problème] bɛ,yé gìrigara yé,FAIL
67,existential_absolute,il y a du travail,baaraw bɛ,yé díyagoyabaara yé,FAIL
68,existential_absolute_neg,il n'y a pas de pain,búuru tɛ,tɛ tákùla yé,FAIL
69,existential_localized_neg,il n'y a personne dans le village,mɔgɔ tɛ dugu kɔnɔ,[personne] tɛ dɔ́gɔdugu la,FAIL
70,existential_localized,Il y a de l'eau dans la bouteille,jí bɛ bútèli kɔnɔ,dùn bɛ bútèli la,FAIL
71,existential_localized,Il y a des gens ici,mɔgɔw bɛ yàn,yé ɲàmakalaw yé yàn,FAIL
72,existential_localized_neg,Il n'y a personne ici,mɔgɔw tɛ yàn,tɛ [personne] yé yàn,FAIL
73,existential_localized,il y a des enfants dans la maison,dɔgɔw bɛ so kɔnɔ,dénw bɛ fàdu la,FAIL
74,existential_localized_neg,il n'y a pas d'eau dans la bouteille,jí tɛ bútèli kɔnɔ,dùn tɛ bútèli la,FAIL
75,identificatory,C'est moi,n dòn,n dòn,PASS
76,identificatory_appos,C'est moi Hawa,"n de dòn, Hawa",Hawa dòn,FAIL
77,identificatory_neg,Ce n'est pas moi,n tɛ,o tɛ n yé,FAIL
78,presentative,c'est Musa,Musa dòn,Musa dòn,PASS
79,presentative_plur,Ce sont mes frères et sœurs,n bálimaw dòn,n bálimakɛ ni Bátà dòn,FAIL
80,identificatory,c'est lui,a dòn,a dòn,PASS
81,identificatory_neg,ce n'est pas lui,a tɛ,o tɛ,FAIL
82,identificatory,c'est nous,anw dòn,o dòn,FAIL
83,deictique,Voilà la voiture,[voiture] félé,wátiri félé,FAIL
84,deictique_plur,Voilà les voitures,[voiture]w félé,wátiri félé,FAIL
85,deictique,Voilà Musa,Musa félé,Musa félé,PASS
86,deictique,Voilà l'eau,jí félé,dùn félé,FAIL
87,interrogative,Parles-tu bambara ?,i bɛ bambara kúma wà ?,i bɛ bambara kánmàdá wà ?,FAIL
88,interrogative_motion,Allez-vous au marché ?,[vous] bɛ wá súgu la wà ?,aw bɛ fòori gárabali la wà ?,FAIL
89,interrogative_question_marker,Est-ce que ça va vraiment bien ?,o bɛ wá kóɲuman nɛ̀fɛ wà ?,Yala o bɛ fòori yɛ̀rɛ gójogojo wà ?,FAIL
90,interrogative_question_marker,Est-ce que tes frères et sœurs sont ici ?,Yala i bálimakɛw ni i balimamusow bɛ yàn wà ?,Yala i bálimakɛw ni i bàrajintanw bɛ yàn wà ?,FAIL
91,interrogative_alternative,Tu veux du poisson ou bien tu veux de la viande ?,i bɛ jɛ́gɛ ŋàniya wàwá i bɛ sògo ŋàniya ?,i bɛ jɛ́gɛ ŋàniya wàlima i bɛ lɛ̀sogo ŋàniya ?,FAIL
92,interrogative_alternative,Tu veux des arachides ou bien tu veux des patates douces ?,i bɛ tìgan ŋàniya wàwá i bɛ [patate douce] ŋàniya ?,i bɛ kàntìgɛw ŋàniya wàlima i bɛ dùmáŋèré sánujilama ŋàniya ?,FAIL
93,interrogative,il mange ?,a bɛ dún wà ?,a bɛ dúnli kɛ wà ?,FAIL
94,interrogative,tu as de l'argent ?,wárí bɛ i bóló wà ?,i yé wári yé,FAIL
95,interrogative,elle est à la maison ?,a bɛ so la wà ?,a bɛ fàdu wà ?,FAIL
96,content_question_who,Qui fait la bagarre ?,jɔn bɛ bìlen dími ?,jɔn bɛ bìlen dénjuguya ?,FAIL
97,content_question_who_inversion,Qui aimez-vous ?,[vous] bɛ jɔn kànu ?,aw bɛ jɔn kànu ?,FAIL
98,content_question_who_inversion,Qui aiment-ils ?,[ils] bɛ jɔn kànu ?,u bɛ jɔn kànu ?,FAIL
99,content_question_what,Tu manges quoi ?,i bɛ mún dún ?,i bɛ mún dún ?,PASS
100,content_question_what,Tu veux quoi ?,i bɛ mún ŋàniya ?,i bɛ mún ŋàniya ?,PASS
101,content_question_what,il mange quoi ?,a bɛ mún dún ?,a bɛ mún dún ?,PASS
102,content_question_where,Où allez-vous ?,[vous] bɛ wá mín ?,aw bɛ fòori mín ?,FAIL
103,content_question_where,où est Musa ?,Musa bɛ mín ?,Musa bɛ mín ?,PASS
104,content_question_when,Quand viens-tu ?,i bɛ nà túma jùmɛn ?,i bɛ nà túma jùmɛn ?,PASS
105,content_question_when,quand pars-tu ?,i bɛ táa túma jùmɛn ?,i bɛ fáɲi túma jùmɛn ?,FAIL
106,content_question_why,Pourquoi pleures-tu ?,i bɛ kàsi mún kósɔn ?,i bɛ kàsi mún kósɔn ?,PASS
107,content_question_why,pourquoi il mange ?,a bɛ dún mún kósɔn ?,a bɛ dún mún kósɔn ?,PASS
108,content_question_how,Comment t'appelles-tu ?,i bɛ kánbìla cógo dǐ ?,i bɛ kánbìla cógo dǐ ?,PASS
109,content_question_how,Comment cela se fait-il ?,o bɛ dími cógo dǐ ?,a bɛ dénjuguya cógo dǐ ?,FAIL
110,content_question_which_noun,Quelle femme ?,númanfɛlaka jùmɛn ?,númanfɛlaka jùmɛn ?,PASS
111,content_question_which,Tu veux quelle maison ?,i bɛ só jùmɛn ŋàniya ?,i bɛ fàdu jùmɛn ŋàniya ?,FAIL
112,content_question_how_much,Ça coûte combien ?,wárí jóli bɛ à la ?,o bɛ jóli jàte ?,FAIL
113,content_question_how_much,tu as combien d'enfants ?,dɔgɔ jóli bɛ i fɛ ?,dénw jóli bɛ i fɛ ?,FAIL
114,simple,je mange du riz,n bɛ màlo dún,n bɛ díga dún,FAIL
115,simple,tu bois de l'eau,i bɛ jí mìn,i bɛ dùn dolo mìn,FAIL
116,simple,il parle bambara,a bɛ bambara kúma,a bɛ bambara kánmàdá,FAIL
117,simple,elle chante,a bɛ donkili dón,a bɛ dúgudugu,FAIL
118,simple_plur,nous travaillons,anw bɛ báara la,anw bɛ báara,FAIL
119,simple_plur,ils mangent du riz,ùw bɛ màlo dún,u bɛ díga dún,FAIL
120,simple_neg,je ne mange pas,n tɛ dún,n tɛ dúnli kɛ,FAIL
121,simple_neg,il ne parle pas bambara,a tɛ bambara kúma,a tɛ bambara kánmàdá,FAIL
122,volitif,je veux manger,n bɛ dún fɛ,n bɛ ŋàniya ka dúnli kɛ,FAIL
123,volitif,il veut partir,a bɛ táa fɛ,a bɛ ŋàniya ka fáɲi,FAIL
124,volitif_neg,je ne veux pas manger,n tɛ dún fɛ,n tɛ ŋàniya ka dúnli kɛ,FAIL
125,progressif,je suis en train de manger,n bɛ kà dún,n bɛ kà dúnli kɛ,FAIL
126,progressif,il est en train de parler,a bɛ kà kúma,a bɛ kà kánmàdá,FAIL
127,futur,je vais manger,n bɛ na dún,n bɛ fòori ka dúnli kɛ,FAIL
128,futur,il va partir,a bɛ na táa,a bɛ fòori ka fáɲi,FAIL
129,futur_neg,je n'irai pas,n tɛ na táa,n tɛ na fòori,FAIL
130,past_neg,je n'ai pas mangé,n ma màlo dún,n ma dúnli kɛ,FAIL
131,past_neg,il n'a pas parlé,a ma kúma,a ma kánmàdá,FAIL
132,habitude,il mangeait du riz,a tùn bɛ màlo dún,a tùn bɛ díga dún,FAIL
133,habitude,je travaillais,n tùn bɛ báara la,n tùn bɛ báara,FAIL
134,simple_purposive_coordinated,Je te donne de l'argent pour cuisiner et manger,n bɛ wárí di i ma walasa ka [cuisiner] ani ka dún,n bɛ wári jàlaki i ma walasa ka sógolonli kɛ ani ka dúnli kɛ,FAIL
135,complex_comitative_relative,Je veux manger avec mon mari et ma fille qui est malade,n bɛ ŋàniya ka dún ni n fúrucɛ ni n mùsona jànkarotɔ,n bɛ ŋàniya ka dúnli kɛ ni n fúrucɛ ni n mùsoma mìn ka jànkarotɔ,FAIL
136,verb_serial_dative,il donne le livre à l'enfant,a bɛ kitabu di dɔgɔ ma,a bɛ kìtabu jàlaki dén la,FAIL
137,privative_pron,sans moi,n kɔ,n kɔ,PASS
138,privative_clause,"sans moi, tu ne pourras pas partir","n kɔ, i tɛ na se ka táa","n kɔ, i tɛ na se ka fáɲi",FAIL
139,privative_noun,Ce légume est sans cuisson,[légume] [cuisson]tan dòn,nin lègimu in yé sósaratan yé,FAIL
140,privative_verb,il est parti sans avertir,a fáɲira [avertir]bali,a fáɲira k'a sɔrɔ a ma lásɔ̀mi,FAIL
141,privative_noun,sans eau,jítan,dùntan,FAIL
142,privative_noun,sans argent,wárítan,wáritan,FAIL
143,relative_topic_neg,Une femme qui a eu un enfant ne peut pas abandonner son enfant,"númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli","númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli",PASS
144,equative_relative,Les djihadistes montrent clairement qu'ils sont les maîtres du jeu,djihadistew bɛ jàbi ko ùw yé [jeu] ka kuntigɛw yé,terorisiw bɛ ɲási tànnínnɔ̀ ko u yé dénnin-ó-dénnin ka fɔ́lisentigiw yé,FAIL
145,comitative,je suis avec mon mari,n ni n cɛ dòn,n ni n fúrucɛ dòn,FAIL
146,comitative_genitive,Je suis avec la fille du frère de mon ami,n ni n terikɛ balimakɛ denmuso dòn,n ni n fìlaninteri bálimakɛ ka mùsoma dòn,FAIL
147,comitative_action,je mange avec mon ami,n bɛ dún ni n terikɛ,n bɛ dúnli kɛ ni n fìlaninteri yé,FAIL
148,reciprocal,nous nous aimons,an bɛ ɲɔgɔn kànu,anw bɛ anw kànu,FAIL
149,reciprocal,ils se battent,ùw bɛ ɲɔgɔn fàli,u bɛ u págapaga,FAIL
150,reciprocal,nous nous parlons,anw bɛ ɲɔgɔn kúma,anw bɛ ɲɔgɔn kánmàdá,FAIL
151,imperative,mange !,dún,dúnli kɛ,FAIL
152,imperative,pars !,táa,fáɲi,FAIL
153,imperative,viens !,nà,nàli kɛ,FAIL
154,imperative,parle bambara !,bambara kúma,bambara kánmàdá,FAIL
155,prohibitive,ne mange pas !,kàna dún,kàna dúnli kɛ,FAIL
156,prohibitive,ne pars pas !,kàna táa,kàna fáɲi,FAIL
157,prohibitive,ne parle pas !,kàna kúma,kàna kánmàdá,FAIL
158,ownership,ce sac est pour ma fille,nin jɔ̀bɔrɔ in yé n mùsoma de ta ye,nin jɔ̀bɔrɔ in yé n mùsoma yé,FAIL
159,noun_phrase_alienable,la maison de mon ami,n terikɛ ka so,n fìlaninteri ka fàdu,FAIL
160,noun_phrase_coord,la participation citoyenne et démocratique,angageman sosiyali ani lademokarasi,jàmaden demokaratikiman ni demokaratiki,FAIL
161,noun_phrase_genitive,La décision finale de la constitution du Mali,Mali dácogo làtigɛ [final],Mali ka dácogo ka jɛ̀kabɛn kɔ́dan,FAIL
162,noun_phrase_genitive,le champ du vieux,kɔrɔba ka foro,màakɔrɔlama ka fòro yin,FAIL
163,noun_phrase_genitive,la mère de l'enfant,dɔgɔ ba,dén bámuso yin,FAIL
164,noun_phrase_genitive,la maison de Musa,Musa ka so,Musa ka fàdu,FAIL
165,infinitive,Promouvoir le bambara et les autres langues nationales,ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya,ka bambara ni Nasiyonali ɛsipaɲikan wɛ́rɛ nùgumɛ,FAIL
166,infinitive,manger du riz,ka màlo dún,ka díga dún,FAIL
167,infinitive,parler bambara,ka bambara kúma,ka bambara kánmàdá,FAIL
168,infinitive_neg,ne pas manger,kàna dún,ka dúnli kɛ,FAIL
169,infinitive_list,"Promouvoir le bambara et les autres langues nationales, inclusion sociale, meilleure circulation de l'information","ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya, [inclusion] sosiyali, kùnnafoni fìsamannci ka sírakankasaara","ka bambara ni Nasiyonali ɛsipaɲikan wɛ́rɛ nùgumɛ, nìta sosiyaliman, dónkibaru ka sírakankasaara fìsamannci yin",FAIL
170,complex_relative,"Mais la situation reste très incertaine au Mali, qui s'enfonce toujours plus dans le chaos","nka dábolo bɛ [incertain] lámàra Mali kɔnɔ, min bɛ ɲàgàmi fɔlɔ kɔfɛ cànla la","nka sɛ́rɛya bɛ kìrinkaran [incertain] ndére Mali la, jɔn tɛ jɔn yɛrɛ pénpe kádawuw háwujaw la",FAIL
171,existential_nominal_complex,Il existe un frein politique lié aux logiques de pouvoir des élites qui veulent maintenir la masse populaire à l'écart de la gouvernance,"[frein] [politique] bɛ, min bɛ [élite]w ka [logique]w la, minw bɛ ŋàniya ka [masse populaire] bìla [gouvernance] kɔrɔ","nɛ̀njuru hàlala bànsanlen násuru báaritala tàasiw la bɛ, min bɛ ŋàniya ka mánkan popilɛri lámàra gófɛrɛnaman nkànfulori la",FAIL
172,complex_noun_phrase,"Chercheur associé à l'Institut français des relations internationales, Thierry Vircoulon revient pour 20 Minutes sur la situation explosive au Mali","Thierry Vircoulon, IFRIw la kùndafɔrɔ, bɛ segin 20 Minutes ma Mali dábolo [explosif] kan","ɲíninikɛla jɛ̀len làsigidenyajuru Institut faransɛman ɛntɛrinasiyɔnaliman la yin, Thierry Vircoulon bɛ nà [20] mínitiw ye Mali la sɛ́rɛya nikiliyɛriman kan",FAIL
173,complex_purposive,"L'université de Kumamoto recrute actuellement des participants pour le Programme d'apprentissage coopératif japonais, ainsi que des étudiants japonais pour la soutenir","Kumamoto lakɔli bɛ kàlandenw wele sísàn japɔnikan [coopératif] kàlanso la, ani japɔni kalandenw ka a dɛmɛ","Kumamoto ka iniwɛrisite bɛ dɔ́gɔdenw kùnba sísàn dègeli pòrogaramu nɛ̀rɛmugumaman nɛ̀njanman ye, ka fara kàlandenbaw jàsiranbaatɔ kan walasa ka dòndo",FAIL
174,locative_adv,les gens sont ici,ɲàmakalaw bɛ yàn,ɲàmakalaw bɛ yàn,PASS
175,locative_adv,il est là,a bɛ yèn,a bɛ yèn,PASS
176,nummod_subject,deux hommes sont partis,mɔ̀gɔw fila fáɲira,mɔ̀gɔw fila fáɲira,PASS
177,nummod_subject,trois enfants mangent du riz,dénw saba bɛ iri dún,dénw saba bɛ díga dún,FAIL
178,nummod_locative,cinq femmes sont ici,númanfɛlakaw duuru bɛ yàn,númanfɛlakaw duuru bɛ yàn,PASS
179,nummod_object,j'ai acheté deux livres,n yé kìtabuw fila sàn,n yé kìtabuw fila sàn,PASS
180,intrans_action_progressif,je suis en train de travailler,n bɛ kà báara kɛ,n bɛ kà báara,FAIL
181,intrans_action_present_neg,je ne travaille pas,n tɛ báara la,n tɛ báara,FAIL
182,intrans_action_passe_pos,j'ai travaillé,n yé báara kɛ,n báara,FAIL
183,intrans_action_passe_neg,je n'ai pas travaillé,n ma báara kɛ,n ma báara,FAIL
184,intrans_action_hab_neg,je ne travaillais pas,n tùn tɛ báara la,n tùn tɛ báara,FAIL
185,intrans_action_futur,je travaillerai,n bɛ na báara kɛ,n bɛ na báara,FAIL
186,temporal_subordinator,quand il vient,tuma min a bɛ nà,tuma min a bɛ nà,PASS
187,reported_comparative,les bambara disent que la raison de la venue de quelqu'un est plus importante que soi-même,bambaraw bɛ fɔ ko mɔ̀gɔ dɔ jɔ̀kun ka kólogirinman ka tɛmɛ yɛrɛ kan,bambaraw bɛ láfɔ ko mɔ̀gɔ dɔ ka nɔ̀na ka jó ka kólogirinman ka tɛmɛ yɛrɛ kan,FAIL
