#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree
81,identificatory_neg,ce n'est pas lui,a tɛ,o tɛ,FAIL,,PRON AUX
82,identificatory,c'est nous,anw dòn,o dòn,FAIL,,PRON ADP
83,deictique,Voilà la voiture,[voiture] félé,wátiri félé,FAIL,,NOUN NOUN
84,deictique_plur,Voilà les voitures,[voiture]w félé,wátiri félé,FAIL,,NOUN NOUN
85,deictique,Voilà Musa,Musa félé,Musa félé,PASS,,PROPN NOUN
86,deictique,Voilà l'eau,jí félé,jí félé,PASS,,NOUN NOUN
87,interrogative,Parles-tu bambara ?,i bɛ bambara kúma wà ?,i bɛ bambara kúma wà ?,PASS,,PRON AUX VERB NOUN CCONJ
88,interrogative_motion,Allez-vous au marché ?,[vous] bɛ wá súgu la wà ?,aw bɛ wá súgu la wà ?,FAIL,,PRON AUX NOUN NOUN ADP CCONJ
89,interrogative_question_marker,Est-ce que ça va vraiment bien ?,o bɛ wá kóɲuman nɛ̀fɛ wà ?,Yala o bɛ wá yɛ̀rɛ kóɲuman wà ?,FAIL,,PROPN PRON AUX NOUN NOUN NOUN CCONJ
90,interrogative_question_marker,Est-ce que tes frères et sœurs sont ici ?,Yala i bálimakɛw ni i balimamusow bɛ yàn wà ?,Yala i bálimakɛw ni bádenmaw bɛ yàn wà ?,FAIL,,PROPN PRON NOUN ADP NOUN AUX NOUN CCONJ
91,interrogative_alternative,Tu veux du poisson ou bien tu veux de la viande ?,i bɛ jɛ́gɛ ŋàniya wàwá i bɛ sògo ŋàniya ?,i bɛ jɛ́gɛ ŋàniya wàlima i bɛ sògo ŋàniya ?,FAIL,,PRON AUX NOUN NOUN NOUN PRON AUX NOUN NOUN
92,interrogative_alternative,Tu veux des arachides ou bien tu veux des patates douces ?,i bɛ tìgan ŋàniya wàwá i bɛ [patate douce] ŋàniya ?,i bɛ kàntìgɛw ŋàniya wàlima i bɛ dùmáŋèré sánujilama ŋàniya ?,FAIL,,PRON AUX NOUN NOUN NOUN PRON AUX NOUN NOUN NOUN
93,interrogative,il mange ?,a bɛ dún wà ?,a bɛ dúnli kɛ wà ?,FAIL,,PRON AUX VERB ADP CCONJ
94,interrogative,tu as de l'argent ?,wárí bɛ i bóló wà ?,wári bɛ i bóló wà ?,FAIL,,NOUN AUX PRON NOUN CCONJ
95,interrogative,elle est à la maison ?,a bɛ so la wà ?,a bɛ só wà ?,FAIL,,PRON AUX NOUN CCONJ
96,interrogative_modal_xcomp,peut-il manger de la viande ?,a bɛ se ka sògo dún wà ?,a bɛ se ka sògo dún wà ?,PASS,,PRON AUX NOUN AUX NOUN NOUN CCONJ
97,content_question_who,Qui fait la bagarre ?,jɔn bɛ bìlen dími ?,jɔn bɛ bìlen kùnnasìri ?,FAIL,,NOUN AUX NOUN NOUN
98,content_question_who_inversion,Qui aimez-vous ?,[vous] bɛ jɔn kànu ?,aw bɛ jɔn kànuya ?,FAIL,,PRON AUX NOUN NOUN
99,content_question_who_inversion,Qui aiment-ils ?,[ils] bɛ jɔn kànu ?,u bɛ jɔn kànuya ?,FAIL,,PRON AUX NOUN NOUN
100,content_question_what,Tu manges quoi ?,i bɛ mún dún ?,i bɛ mún dún ?,PASS,,PRON AUX NOUN NOUN
101,content_question_what,Tu veux quoi ?,i bɛ mún ŋàniya ?,i bɛ mún ŋàniya ?,PASS,,PRON AUX NOUN NOUN
102,content_question_what,il mange quoi ?,a bɛ mún dún ?,a bɛ mún dún ?,PASS,,PRON AUX NOUN NOUN
103,content_question_where,Où allez-vous ?,[vous] bɛ wá mín ?,aw bɛ wá mín ?,FAIL,,PRON AUX NOUN NOUN
104,content_question_where,où est Musa ?,Musa bɛ mín ?,Musa bɛ mín ?,PASS,,PROPN AUX NOUN
105,content_question_when,Quand viens-tu ?,i bɛ nà túma jùmɛn ?,i bɛ nà túma jùmɛn ?,PASS,,PRON AUX NOUN NOUN NOUN
106,content_question_when,quand pars-tu ?,i bɛ táa túma jùmɛn ?,i bɛ fáɲi túma jùmɛn ?,FAIL,,PRON AUX NOUN NOUN NOUN
107,content_question_why,Pourquoi pleures-tu ?,i bɛ kàsi mún kósɔn ?,i bɛ kàsi mún kósɔn ?,PASS,,PRON AUX NOUN NOUN NOUN
108,content_question_why,pourquoi il mange ?,a bɛ dún mún kósɔn ?,a bɛ dún mún kósɔn ?,PASS,,PRON AUX NOUN NOUN NOUN
109,content_question_how,Comment t'appelles-tu ?,i bɛ kánbìla cógo dǐ ?,i bɛ kánbìla cógo dǐ ?,PASS,,PRON AUX NOUN NOUN NOUN
110,content_question_how,Comment cela se fait-il ?,o bɛ dími cógo dǐ ?,a bɛ yògoro cógo dǐ ?,FAIL,,PRON AUX NOUN NOUN NOUN
111,content_question_which_noun,Quelle femme ?,númanfɛlaka jùmɛn ?,númanfɛlaka jùmɛn ?,PASS,,NOUN NOUN
112,content_question_which,Tu veux quelle maison ?,i bɛ só jùmɛn ŋàniya ?,i bɛ só jùmɛn ŋàniya ?,PASS,,PRON AUX NOUN NOUN NOUN
113,content_question_how_much,Ça coûte combien ?,wárí jóli bɛ à la ?,o bɛ jóli kɔ́fili ?,FAIL,,PRON AUX VERB VERB
114,content_question_how_much,tu as combien d'enfants ?,dɔgɔ jóli bɛ i fɛ ?,dénw jóli bɛ i fɛ ?,FAIL,,NOUN VERB AUX PRON NOUN
115,simple,je mange du riz,n bɛ màlo dún,n bɛ iri dún,FAIL,,PRON AUX NOUN NOUN
116,simple,tu bois de l'eau,i bɛ jí mìn,i bɛ jí jí,FAIL,,PRON AUX NOUN NOUN
117,simple,il parle bambara,a bɛ bambara kúma,a bɛ bambara kúma,PASS,,PRON AUX VERB NOUN
118,simple,elle chante,a bɛ donkili dón,a bɛ fɛ,FAIL,,PRON AUX NOUN
119,simple_plur,nous travaillons,anw bɛ báara la,anw bɛ báara la,PASS,,PRON AUX VERB ADP
120,simple_plur,ils mangent du riz,ùw bɛ màlo dún,u bɛ iri dún,FAIL,,PRON AUX NOUN NOUN
121,simple_neg,je ne mange pas,n tɛ dún,n tɛ dumuni kɛ,FAIL,,PRON AUX NOUN ADP
122,simple_neg,il ne parle pas bambara,a tɛ bambara kúma,"ERREUR: Failed to read from defunct connection IPv4Address(('localhost', 7687)) (ResolvedIPv6Address(('::1', 7687, 0, 0)))",ERROR,,
123,volitif,je veux manger,n bɛ dún fɛ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
124,volitif,il veut partir,a bɛ táa fɛ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
125,volitif_neg,je ne veux pas manger,n tɛ dún fɛ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
126,progressif,je suis en train de manger,n bɛ kà dún,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
127,progressif,il est en train de parler,a bɛ kà kúma,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
128,futur,je vais manger,n bɛ na dún,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
129,futur,il va partir,a bɛ na táa,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
130,futur_neg,je n'irai pas,n tɛ na táa,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
131,past_neg,je n'ai pas mangé,n ma màlo dún,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
132,past_neg,il n'a pas parlé,a ma kúma,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
133,habitude,il mangeait du riz,a tùn bɛ màlo dún,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
134,habitude,je travaillais,n tùn bɛ báara la,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
135,simple_purposive_coordinated,Je te donne de l'argent pour cuisiner et manger,n bɛ wárí di i ma walasa ka [cuisiner] ani ka dún,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
136,complex_comitative_relative,Je veux manger avec mon mari et ma fille qui est malade,n bɛ ŋàniya ka dún ni n fúrucɛ ni n mùsona jànkarotɔ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
137,verb_serial_dative,il donne le livre à l'enfant,a bɛ kitabu di dɔgɔ ma,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
138,privative_pron,sans moi,n kɔ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
139,privative_clause,"sans moi, tu ne pourras pas partir","n kɔ, i tɛ na se ka táa","ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
140,privative_noun,Ce légume est sans cuisson,[légume] [cuisson]tan dòn,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
141,privative_verb,il est parti sans avertir,a fáɲira [avertir]bali,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
142,privative_noun,sans eau,jítan,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
143,privative_noun,sans argent,wárítan,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
144,relative_topic_neg,Une femme qui a eu un enfant ne peut pas abandonner son enfant,"númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli","ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
145,equative_relative,Les djihadistes montrent clairement qu'ils sont les maîtres du jeu,djihadistew bɛ jàbi ko ùw yé [jeu] ka kuntigɛw yé,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
146,comitative,je suis avec mon mari,n ni n cɛ dòn,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
147,comitative_genitive,Je suis avec la fille du frère de mon ami,n ni n terikɛ balimakɛ denmuso dòn,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
148,comitative_action,je mange avec mon ami,n bɛ dún ni n terikɛ,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
149,reciprocal,nous nous aimons,an bɛ ɲɔgɔn kànu,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
150,reciprocal,ils se battent,ùw bɛ ɲɔgɔn fàli,"ERREUR: Couldn't connect to localhost:7687 (resolved to ('[::1]:7687', '127.0.0.1:7687')):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 61] Connection refused)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 61] Connection refused)",ERROR,,
