#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,pága bɛ i fɛ,FAIL
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,i bɛ saan jùmɛn la ?,FAIL
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,wári tɛ a fɛ,FAIL
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,bálimakɛ bɛ n fɛ,PASS
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,bálimakɛ bɛ n fɛ,FAIL
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,bálimakɛw ni bálimakɛw bɛ n fɛ,FAIL
62,volitif,J'aime manger,n bɛ dún fɛ,n bɛ kànu ka dúnli kɛ,FAIL
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,tère bɛ a fɛ,FAIL
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,bálimakɛ tɛ a fɛ,PASS
65,existential_absolute,Il y'a du pain,búuru bɛ,búuru bɛ,PASS
66,existential_absolute,il y a un problème,[problème] bɛ,láko bɛ,FAIL
67,existential_absolute,il y a du travail,baaraw bɛ,báara bɛ,FAIL
68,existential_absolute_neg,il n'y a pas de pain,búuru tɛ,búuru tɛ,PASS
69,existential_localized_neg,il n'y a personne dans le village,mɔgɔ tɛ dugu kɔnɔ,[personne] tɛ dùgu la,FAIL
70,existential_localized,Il y a de l'eau dans la bouteille,jí bɛ bútèli kɔnɔ,jí bɛ bútèli la,FAIL
71,existential_localized,Il y a des gens ici,mɔgɔw bɛ yàn,ɲàmakalaw bɛ yàn,FAIL
72,existential_localized_neg,Il n'y a personne ici,mɔgɔw tɛ yàn,[personne] tɛ yàn,FAIL
73,existential_localized,il y a des enfants dans la maison,dɔgɔw bɛ so kɔnɔ,dénw bɛ só la,FAIL
74,existential_localized_neg,il n'y a pas d'eau dans la bouteille,jí tɛ bútèli kɔnɔ,jí tɛ bútèli la,FAIL
75,identificatory,C'est moi,n dòn,n dòn,PASS
76,identificatory_appos,C'est moi Hawa,"n de dòn, Hawa",Hawa dòn,FAIL
77,identificatory_neg,Ce n'est pas moi,n tɛ,o tɛ n yé,FAIL
78,presentative,c'est Musa,Musa dòn,Musa dòn,PASS
79,presentative_plur,Ce sont mes frères et sœurs,n bálimaw dòn,n bálimakɛ ni bálimakɛ dòn,FAIL
80,identificatory,c'est lui,a dòn,a dòn,PASS
81,identificatory_neg,ce n'est pas lui,a tɛ,o tɛ,FAIL
82,identificatory,c'est nous,anw dòn,o dòn,FAIL
83,deictique,Voilà la voiture,[voiture] félé,wátiri félé,FAIL
84,deictique_plur,Voilà les voitures,[voiture]w félé,wátiri félé,FAIL
85,deictique,Voilà Musa,Musa félé,Musa félé,PASS
86,deictique,Voilà l'eau,jí félé,jí félé,PASS
87,interrogative,Parles-tu bambara ?,i bɛ bambara kúma wà ?,i bɛ bambara kúma wà ?,PASS
88,interrogative_motion,Allez-vous au marché ?,[vous] bɛ wá súgu la wà ?,aw bɛ wá súgu la wà ?,FAIL
89,interrogative_question_marker,Est-ce que ça va vraiment bien ?,o bɛ wá kóɲuman nɛ̀fɛ wà ?,Yala o bɛ wá yɛ̀rɛ kóɲuman wà ?,FAIL
90,interrogative_question_marker,Est-ce que tes frères et sœurs sont ici ?,Yala i bálimakɛw ni i balimamusow bɛ yàn wà ?,Yala i bálimakɛw ni i bálimakɛw bɛ yàn wà ?,FAIL
91,interrogative_alternative,Tu veux du poisson ou bien tu veux de la viande ?,i bɛ jɛ́gɛ ŋàniya wàwá i bɛ sògo ŋàniya ?,i bɛ jɛ́gɛ ŋàniya wàlima i bɛ sògo ŋàniya ?,FAIL
92,interrogative_alternative,Tu veux des arachides ou bien tu veux des patates douces ?,i bɛ tìgan ŋàniya wàwá i bɛ [patate douce] ŋàniya ?,i bɛ kàntìgɛw ŋàniya wàlima i bɛ dùmáŋèré gòni ŋàniya ?,FAIL
93,interrogative,il mange ?,a bɛ dún wà ?,a bɛ dúnli kɛ wà ?,FAIL
94,interrogative,tu as de l'argent ?,wárí bɛ i bóló wà ?,wári bɛ i fɛ wà ?,FAIL
95,interrogative,elle est à la maison ?,a bɛ so la wà ?,a bɛ só wà ?,FAIL
96,content_question_who,Qui fait la bagarre ?,jɔn bɛ bìlen dími ?,jɔn bɛ bìlen dími ?,PASS
97,content_question_who_inversion,Qui aimez-vous ?,[vous] bɛ jɔn kànu ?,aw bɛ jɔn kànu ?,FAIL
98,content_question_who_inversion,Qui aiment-ils ?,[ils] bɛ jɔn kànu ?,u bɛ jɔn kànu ?,FAIL
99,content_question_what,Tu manges quoi ?,i bɛ mún dún ?,i bɛ mún dún ?,PASS
100,content_question_what,Tu veux quoi ?,i bɛ mún ŋàniya ?,i bɛ mún ŋàniya ?,PASS
101,content_question_what,il mange quoi ?,a bɛ mún dún ?,a bɛ mún dún ?,PASS
102,content_question_where,Où allez-vous ?,[vous] bɛ wá mín ?,aw bɛ wá mín ?,FAIL
103,content_question_where,où est Musa ?,Musa bɛ mín ?,Musa bɛ mín ?,PASS
104,content_question_when,Quand viens-tu ?,i bɛ nà túma jùmɛn ?,i bɛ nàli kɛ túma jùmɛn ?,FAIL
105,content_question_when,quand pars-tu ?,i bɛ táa túma jùmɛn ?,i bɛ fáɲi túma jùmɛn ?,FAIL
106,content_question_why,Pourquoi pleures-tu ?,i bɛ kàsi mún kósɔn ?,i bɛ kàsili kɛ mún kósɔn ?,FAIL
107,content_question_why,pourquoi il mange ?,a bɛ dún mún kósɔn ?,a bɛ dúnli kɛ mún kósɔn ?,FAIL
108,content_question_how,Comment t'appelles-tu ?,i bɛ kánbìla cógo dǐ ?,i bɛ kánbìlali kɛ cógo dǐ ?,FAIL
109,content_question_how,Comment cela se fait-il ?,o bɛ dími cógo dǐ ?,a bɛ dími cógo dǐ ?,FAIL
110,content_question_which_noun,Quelle femme ?,númanfɛlaka jùmɛn ?,númanfɛlaka jùmɛn ?,PASS
111,content_question_which,Tu veux quelle maison ?,i bɛ só jùmɛn ŋàniya ?,i bɛ só jùmɛn ŋàniya ?,PASS
112,content_question_how_much,Ça coûte combien ?,wárí jóli bɛ à la ?,o bɛ jóli kɔ́nɔsu ?,FAIL
113,content_question_how_much,tu as combien d'enfants ?,dɔgɔ jóli bɛ i fɛ ?,dénw jóli bɛ i fɛ ?,FAIL
114,simple,je mange du riz,n bɛ màlo dún,n bɛ iri dún,FAIL
115,simple,tu bois de l'eau,i bɛ jí mìn,i bɛ jí mìn,PASS
116,simple,il parle bambara,a bɛ bambara kúma,a bɛ bambara kúma,PASS
117,simple,elle chante,a bɛ donkili dón,a bɛ gòsi,FAIL
118,simple_plur,nous travaillons,anw bɛ báara la,anw bɛ báara la,PASS
119,simple_plur,ils mangent du riz,ùw bɛ màlo dún,u bɛ iri dún,FAIL
120,simple_neg,je ne mange pas,n tɛ dún,n tɛ dúnli kɛ,FAIL
121,simple_neg,il ne parle pas bambara,a tɛ bambara kúma,a tɛ bambara kúma,PASS
122,volitif,je veux manger,n bɛ dún fɛ,n bɛ ŋàniya ka dúnli kɛ,FAIL
123,volitif,il veut partir,a bɛ táa fɛ,a bɛ ŋàniya ka fáɲi,FAIL
124,volitif_neg,je ne veux pas manger,n tɛ dún fɛ,n tɛ ŋàniya ka dúnli kɛ,FAIL
125,progressif,je suis en train de manger,n bɛ kà dún,n bɛ kà dúnli kɛ,FAIL
126,progressif,il est en train de parler,a bɛ kà kúma,a bɛ kà kúma,PASS
127,futur,je vais manger,n bɛ na dún,n bɛ wá ka dúnli kɛ,FAIL
128,futur,il va partir,a bɛ na táa,a bɛ wá ka fáɲi,FAIL
129,futur_neg,je n'irai pas,n tɛ na táa,n tɛ na wá,FAIL
130,past_neg,je n'ai pas mangé,n ma màlo dún,n ma dúnli kɛ,FAIL
131,past_neg,il n'a pas parlé,a ma kúma,a ma kúma,PASS
132,habitude,il mangeait du riz,a tùn bɛ màlo dún,a tùn bɛ iri dún,FAIL
133,habitude,je travaillais,n tùn bɛ báara la,n tùn bɛ báara la,PASS
134,simple_purposive_coordinated,Je te donne de l'argent pour cuisiner et manger,n bɛ wárí di i ma walasa ka [cuisiner] ani ka dún,n bɛ wári di i ma walasa ka fìrili kɛ ani ka dúnli kɛ,FAIL
135,complex_comitative_relative,Je veux manger avec mon mari et ma fille qui est malade,n bɛ ŋàniya ka dún ni n fúrucɛ ni n mùsona jànkarotɔ,n bɛ ŋàniya ka dúnli kɛ ni n fúrucɛ ni n mùsoma mìn ka jànkarotɔ,FAIL
136,verb_serial_dative,il donne le livre à l'enfant,a bɛ kitabu di dɔgɔ ma,a bɛ kìtabu di dén la,FAIL
137,privative_pron,sans moi,n kɔ,n kɔ,PASS
138,privative_clause,"sans moi, tu ne pourras pas partir","n kɔ, i tɛ na se ka táa","n kɔ, i tɛ na se ka fáɲi",FAIL
139,privative_noun,Ce légume est sans cuisson,[légume] [cuisson]tan dòn,nin lègimu in yé jèniyɔrɔtan yé,FAIL
140,privative_verb,il est parti sans avertir,a fáɲira [avertir]bali,a fáɲira k'a sɔrɔ a ma lásɔ̀mili kɛ,FAIL
141,privative_noun,sans eau,jítan,jítan,PASS
142,privative_noun,sans argent,wárítan,wáritan,FAIL
143,relative_topic_neg,Une femme qui a eu un enfant ne peut pas abandonner son enfant,"númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli","númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli",PASS
144,equative_relative,Les djihadistes montrent clairement qu'ils sont les maîtres du jeu,djihadistew bɛ jàbi ko ùw yé [jeu] ka kuntigɛw yé,kɛ̀lɛbagaw bɛ ɲási fɛ́rɛtɛtɛ ko u yé gòdogodolan ka mɛtiriw yé,FAIL
145,comitative,je suis avec mon mari,n ni n cɛ dòn,n ni n fúrucɛ dòn,FAIL
146,comitative_genitive,Je suis avec la fille du frère de mon ami,n ni n terikɛ balimakɛ denmuso dòn,n ni n díyanyemɔgɔ bálimakɛ ka mùsoma dòn,FAIL
147,comitative_action,je mange avec mon ami,n bɛ dún ni n terikɛ,n bɛ dúnli kɛ ni n díyanyemɔgɔ yé,FAIL
148,reciprocal,nous nous aimons,an bɛ ɲɔgɔn kànu,anw bɛ ɲɔgɔn kànu,FAIL
149,reciprocal,ils se battent,ùw bɛ ɲɔgɔn fàli,u bɛ ɲɔgɔn gòsi,FAIL
150,reciprocal,nous nous parlons,anw bɛ ɲɔgɔn kúma,anw bɛ ɲɔgɔn kúma,PASS
151,imperative,mange !,dún,dún,PASS
152,imperative,pars !,táa,fáɲi,FAIL
153,imperative,viens !,nà,nà,PASS
154,imperative,parle bambara !,bambara kúma,bambara kúma,PASS
155,prohibitive,ne mange pas !,kàna dún,kàna dún,PASS
156,prohibitive,ne pars pas !,kàna táa,kàna fáɲi,FAIL
157,prohibitive,ne parle pas !,kàna kúma,kàna kúma,PASS
158,ownership,ce sac est pour ma fille,nin jɔ̀bɔrɔ in yé n mùsoma de ta ye,nin jɔ̀bɔrɔ in yé n mùsoma yé,FAIL
159,noun_phrase_alienable,la maison de mon ami,n terikɛ ka so,n díyanyemɔgɔ ka só,FAIL
160,noun_phrase_coord,la participation citoyenne et démocratique,angageman sosiyali ani lademokarasi,bólomafara [citoyen] ni demokaratiki,FAIL
161,noun_phrase_genitive,La décision finale de la constitution du Mali,Mali dácogo làtigɛ [final],Mali ka dácogo ka làtigɛ [final],FAIL
162,noun_phrase_genitive,le champ du vieux,kɔrɔba ka foro,màakɔrɔlama ka fòro yin,FAIL
163,noun_phrase_genitive,la mère de l'enfant,dɔgɔ ba,dén bámuso yin,FAIL
164,noun_phrase_genitive,la maison de Musa,Musa ka so,Musa ka só,FAIL
165,infinitive,Promouvoir le bambara et les autres langues nationales,ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya,ka bambara ni Nasiyonali nɛ̀n wɛ́rɛ kìsɛya,FAIL
166,infinitive,manger du riz,ka màlo dún,ka iri dún,FAIL
167,infinitive,parler bambara,ka bambara kúma,ka bambara kúma,PASS
168,infinitive_neg,ne pas manger,kàna dún,ka dúnli kɛ,FAIL
169,infinitive_list,"Promouvoir le bambara et les autres langues nationales, inclusion sociale, meilleure circulation de l'information","ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya, [inclusion] sosiyali, kùnnafoni fìsamannci ka sírakankasaara","ka bambara ni Nasiyonali nɛ̀n wɛ́rɛ kìsɛya, [inclusion] sosiyaliman, kùnnafoni ka sírakankasaara fìsamannci yin",FAIL
170,complex_relative,"Mais la situation reste très incertaine au Mali, qui s'enfonce toujours plus dans le chaos","nka dábolo bɛ [incertain] lámàra Mali kɔnɔ, min bɛ ɲàgàmi fɔlɔ kɔfɛ cànla la","nka dábolo bɛ [incertain] ndére Mali la, jɔn tɛ jɔn yɛrɛ pénpe kádawuw kùnmafiliw la",FAIL
171,existential_nominal_complex,Il existe un frein politique lié aux logiques de pouvoir des élites qui veulent maintenir la masse populaire à l'écart de la gouvernance,"[frein] [politique] bɛ, min bɛ [élite]w ka [logique]w la, minw bɛ ŋàniya ka [masse populaire] bìla [gouvernance] kɔrɔ","nɛ̀njuru [politique] sìrilen sémako jànmannin jów la bɛ, min bɛ ŋàniya ka dòni popilɛri lámìnɛ sɛ́gɛsɛgɛli nkànfulori la",FAIL
172,complex_noun_phrase,"Chercheur associé à l'Institut français des relations internationales, Thierry Vircoulon revient pour 20 Minutes sur la situation explosive au Mali","Thierry Vircoulon, IFRIw la kùndafɔrɔ, bɛ segin 20 Minutes ma Mali dábolo [explosif] kan","ɲíninikɛla jɛ̀len cɛ́sira Institut faransɛman ɛntɛrinasiyɔnaliman la yin, Thierry Vircoulon bɛ kɔ́sègin [20] mínitiw ye Mali la dábolo mánamaman kan",FAIL
173,complex_purposive,"L'université de Kumamoto recrute actuellement des participants pour le Programme d'apprentissage coopératif japonais, ainsi que des étudiants japonais pour la soutenir","Kumamoto lakɔli bɛ kàlandenw wele sísàn japɔnikan [coopératif] kàlanso la, ani japɔni kalandenw ka a dɛmɛ","Kumamoto ka iniwɛrisite bɛ dɔ́gɔdenw déli sísàn dègeli pòrogaramu [japonais] [coopératif] ye, ka fara kàlandenbaw [japonais] kan walasa ka dòndo",FAIL
174,locative_adv,les gens sont ici,ɲàmakalaw bɛ yàn,ɲàmakalaw bɛ yàn,PASS
175,locative_adv,il est là,a bɛ yèn,a bɛ yèn,PASS
176,nummod_subject,deux hommes sont partis,mɔ̀gɔw fila fáɲira,mɔ̀gɔw fila fáɲira,PASS
177,nummod_subject,trois enfants mangent du riz,dénw saba bɛ iri dún,dénw saba bɛ iri dún,PASS
178,nummod_locative,cinq femmes sont ici,númanfɛlakaw duuru bɛ yàn,númanfɛlakaw duuru bɛ yàn,PASS
179,nummod_object,j'ai acheté deux livres,n yé kìtabuw fila sàn,n yé kìtabuw fila sàn,PASS
180,intrans_action_progressif,je suis en train de travailler,n bɛ kà báara kɛ,n bɛ kà báara kɛ,PASS
181,intrans_action_present_neg,je ne travaille pas,n tɛ báara la,n tɛ báara la,PASS
182,intrans_action_passe_pos,j'ai travaillé,n yé báara kɛ,n báara,FAIL
183,intrans_action_passe_neg,je n'ai pas travaillé,n ma báara kɛ,n ma báara kɛ,PASS
184,intrans_action_hab_neg,je ne travaillais pas,n tùn tɛ báara la,n tùn tɛ báara la,PASS
185,intrans_action_futur,je travaillerai,n bɛ na báara kɛ,n bɛ na báara kɛ,PASS
186,temporal_subordinator,quand il vient,tuma min a bɛ nà,tuma min a bɛ nà,PASS
187,reported_comparative,les bambara disent que la raison de la venue de quelqu'un est plus importante que soi-même,bambaraw bɛ fɔ ko mɔ̀gɔ dɔ jɔ̀kun ka kólogirinman ka tɛmɛ yɛrɛ kan,bambaraw bɛ láfɔ ko quelqu' ka jɔ̀kun yé kólogirinman yé,FAIL
