#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree,google_translate,nllb_translate,camembert_kuma,camembert_google,camembert_nllb
55,noun_phrase_have_material_plur,Ils ont des voitures,móbiliw bɛ ùw bóló,,,,,Mobiliw b’u bolo,Mobiliw bɛ u fɛ,,,
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,,,,,i bɛ ni muru ye,npan b'i bolo,,,
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,,,,,I ye san joli ye?,I bɛ san jumɛnw na?,,,
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,,,,,wari t' a bolo,wari tɛ a fɛ,,,
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,,,,,Balimakɛ dɔ bɛ ne fɛ,Balimacɛ dɔ bɛ ne fɛ,,,
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,,,,,Balimamuso dɔ bɛ n bolo,Ne dɔgɔmuso bɛ yen.,,,
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,,,,,Balimakɛw ni balimamusow bɛ ne fɛ,Balimaw ni balimamusow bɛ ne fɛ,,,
62,volitif,J'aime manger,n bɛ dúnli kànuya,,,,,Dumuni ka di n ye,Dumuni ka di ne ye,,,
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,,,,,a ye hɛrɛ sɔrɔ,a ye numuya ye,,,
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,,,,,balimakɛ t'a fɛ,balimakɛ tɛ a fɛ,,,
65,existential_absolute,Il y'a du pain,búuru bɛ,,,,,Buru bɛ ​​yen,Dumuni bɛ yen,,,
66,existential_absolute,il y a un problème,[problème] bɛ,,,,,gɛlɛya dɔ bɛ yen,gɛlɛya dɔ bɛ yen,,,
67,existential_absolute,il y a du travail,baaraw bɛ,,,,,baara bɛ yen,baara bɛ yen,,,
68,existential_absolute_neg,il n'y a pas de pain,búuru tɛ,,,,,buru tɛ yen,nbuuru tɛ yen,,,
69,existential_localized_neg,il n'y a personne dans le village,mɔgɔ tɛ dugu kɔnɔ,,,,,mɔgɔ si tɛ dugu kɔnɔ,mɔgɔ tɛ dugu kɔnɔ,,,
70,existential_localized,Il y a de l'eau dans la bouteille,jí bɛ bútèli kɔnɔ,,,,,Ji bɛ buteli kɔnɔ,Ji bɛ jifilen kɔnɔ,,,
71,existential_localized,Il y a des gens ici,mɔgɔw bɛ yàn,,,,,Mɔgɔw ​​bɛ yan,Mɔgɔ dɔw bɛ yan,,,
72,existential_localized_neg,Il n'y a personne ici,mɔgɔw tɛ yàn,,,,,Mɔgɔ si tɛ yan,Mɔgɔ si tɛ yan,,,
73,existential_localized,il y a des enfants dans la maison,dɔgɔw bɛ so kɔnɔ,,,,,denmisɛnw bɛ du kɔnɔ,Denmisɛnw bɛ so kɔnɔ,,,
74,existential_localized_neg,il n'y a pas d'eau dans la bouteille,jí tɛ bútèli kɔnɔ,,,,,ji tɛ buteli kɔnɔ,ji tɛ jiriden kɔnɔ,,,
75,identificatory,C'est moi,n dòn,,,,,Ne de don,O ye ne de ye.,,,
76,identificatory_appos,C'est moi Hawa,n de Hawa yé,,,,,O ye ne Hawa ye,Ne ye Hawa ye,,,
77,identificatory_neg,Ce n'est pas moi,n tɛ,,,,,O t ne ye,O tɛ ne de ye,,,
78,presentative,c'est Musa,Musa dòn,,,,,o ye Musa ye,o ye Musa ye,,,
79,presentative_plur,Ce sont mes frères et sœurs,n bálimaw dòn,,,,,Ninnu ye ne balimakɛw ni ne balimamusow ye,O ye ne balimakɛw ni ne balimamusow ye,,,
80,identificatory,c'est lui,a dòn,,,,,ale de don,o ye ale de ye,,,
81,identificatory_neg,ce n'est pas lui,a tɛ,,,,,o tɛ ale de ye,o tɛ a ye,,,
82,identificatory,c'est nous,anw dòn,,,,,o ye anw de ye,an bɛ o de ye,,,
83,deictique,Voilà la voiture,[voiture] félé,,,,,Mobili in filɛ nin ye,Nin ye mobili ye,,,
84,deictique_plur,Voilà les voitures,[voiture]w félé,,,,,Mobiliw filɛ nin ye,Nin ye mobiliw ye,,,
85,deictique,Voilà Musa,Musa félé,,,,,Nin ye Musa ye,O ye Musa ye.,,,
86,deictique,Voilà l'eau,jí félé,,,,,Ji filɛ nin ye,Ji bɛ yan.,,,
87,interrogative,Parles-tu bambara ?,i bɛ bambara kúma wà ?,,,,,Yala i bɛ bamanankan fɔ wa?,I bɛ bambara fɔ wa?,,,
88,interrogative_motion,Allez-vous au marché ?,[vous] bɛ wá súgu la wà ?,,,,,Yala i bɛ taa sugu la wa?,Aw bɛ taa lɔgɔfiyɛ la wa?,,,
89,interrogative_question_marker,Est-ce que ça va vraiment bien ?,o bɛ wá kóɲuman nɛ̀fɛ wà ?,,,,,Yala o tɛ baasi ye tiɲɛ na wa?,Yala i bɛ ko ɲuman kɛ wa?,,,
90,interrogative_question_marker,Est-ce que tes frères et sœurs sont ici ?,Yala i bálimakɛw ni i balimamusow bɛ yàn wà ?,,,,,Yala i balimakɛw ni i balimamusow bɛ yan wa?,I balimakɛw ni i balimamusow bɛ yan wa?,,,
91,interrogative_alternative,Tu veux du poisson ou bien tu veux de la viande ?,i bɛ jɛ́gɛ ŋàniya wàwá i bɛ sògo ŋàniya ?,,,,,Yala i b’a fɛ ka jɛgɛ sɔrɔ wa walima i b’a fɛ ka sogo sɔrɔ?,I b'a fɛ jɛgɛ wala sogo?,,,
92,interrogative_alternative,Tu veux des arachides ou bien tu veux des patates douces ?,i bɛ tìgan ŋàniya wàwá i bɛ [patate douce] ŋàniya ?,,,,,Yala aw b’a fɛ ka manje sɔrɔ walima aw b’a fɛ ka pɔmitɛri sɔrɔ?,I b'a fɛ pikirifɛn dɔw ye wa? Walima i b'a fɛ patata duman dɔw ye wa?,,,
93,interrogative,il mange ?,a bɛ dún wà ?,,,,,a bɛ dumuni kɛ wa?,A bɛ dumuni kɛ wa?,,,
94,interrogative,tu as de l'argent ?,wárí bɛ i bóló wà ?,,,,,wari b' aw bolo wa ?,wari bɛ i fɛ wa?,,,
95,interrogative,elle est à la maison ?,a bɛ so la wà ?,,,,,Yala a bɛ so kɔnɔ wa?,A bɛ so kɔnɔ wa?,,,
96,interrogative_modal_xcomp,peut-il manger de la viande ?,a bɛ se ka sògo dún wà ?,,,,,a bɛ se ka sogo dun wa ?,A bɛ se ka sogo dun wa?,,,
97,content_question_who,Qui fait la bagarre ?,jɔn bɛ bìlen dími ?,,,,,Jɔn de bɛ kɛlɛ in kɛ?,Jɔn bɛ kɛlɛ kɛ?,,,
98,content_question_who_inversion,Qui aimez-vous ?,[vous] bɛ jɔn kànu ?,,,,,I bɛ jɔn kanu?,I bɛ jɔni kanu?,,,
99,content_question_who_inversion,Qui aiment-ils ?,[ils] bɛ jɔn kànu ?,,,,,U bɛ jɔn kanu?,U bɛ jɔn kanu?,,,
100,content_question_what,Tu manges quoi ?,i bɛ mún dún ?,,,,,Aw bɛ mun dun?,I bɛ mun dun?,,,
101,content_question_what,Tu veux quoi ?,i bɛ mún ŋàniya ?,,,,,E bɛ mun fɛ ?,I bɛ mun de fɛ?,,,
102,content_question_what,il mange quoi ?,a bɛ mún dún ?,,,,,a bɛ mun dun ?,A bɛ mun dun?,,,
103,content_question_where,Où allez-vous ?,[vous] bɛ wá mín ?,,,,,I bɛ taa min ?,Aw bɛ taa min?,,,
104,content_question_where,où est Musa ?,Musa bɛ mín ?,,,,,Musa bɛ min ?,Musa bɛ min?,,,
105,content_question_when,Quand viens-tu ?,i bɛ nà túma jùmɛn ?,,,,,I bɛ na tuma jumɛn?,I bɛ na waati jumɛn?,,,
106,content_question_when,quand pars-tu ?,i bɛ táa túma jùmɛn ?,,,,,i bɛ taa tuma jumɛn ?,I bɛ taa waati jumɛn?,,,
107,content_question_why,Pourquoi pleures-tu ?,i bɛ kàsi mún kósɔn ?,,,,,Mun na i bɛ kasi?,Mun y'a to i bɛ kasi?,,,
108,content_question_why,pourquoi il mange ?,a bɛ dún mún kósɔn ?,,,,,mun na a bɛ dumuni kɛ?,Mun na a bɛ dumuni kɛ?,,,
109,content_question_how,Comment t'appelles-tu ?,i bɛ kánbìla cógo dǐ ?,,,,,I tɔgɔ bɛ di ?,I tɔgɔ bɛ di?,,,
110,content_question_how,Comment cela se fait-il ?,o bɛ dími cógo dǐ ?,,,,,O bɛ kɛ cogo di?,O bɛ kɛ cogo di?,,,
111,content_question_which_noun,Quelle femme ?,númanfɛlaka jùmɛn ?,,,,,Muso jumɛn?,Muso jumɛn?,,,
112,content_question_which,Tu veux quelle maison ?,i bɛ só jùmɛn ŋàniya ?,,,,,I b’a fɛ ka so jumɛn de fɛ?,I bɛ so jumɛn fɛ?,,,
113,content_question_how_much,Ça coûte combien ?,wárí jóli bɛ à la ?,,,,,A musaka ye joli ye?,A bɛ wari joli di?,,,
114,content_question_how_much,tu as combien d'enfants ?,dɔgɔ jóli bɛ i fɛ ?,,,,,den joli b' aw bolo ?,Den joli bɛ i fɛ?,,,
115,simple,je mange du riz,n bɛ màlo dún,,,,,N bɛ tiga dun,ne bɛ dumuni kɛ,,,
116,simple,tu bois de l'eau,i bɛ jí mìn,,,,,aw bɛ ji min,i bɛ ji min,,,
117,simple,il parle bambara,a bɛ bambara kúma,,,,,a bɛ bamanankan fɔ,a bɛ bambara fɔ,,,
118,simple,elle chante,a bɛ donkili dón,,,,,a bɛ dɔnkili da,a bɛ dɔnkili la,,,
119,simple_plur,nous travaillons,anw bɛ báara la,,,,,an bɛ baara kɛ,an bɛ baara kɛ,,,
120,simple_plur,ils mangent du riz,ùw bɛ màlo dún,,,,,u bɛ tiga dun,u bɛ roso dun,,,
121,simple_neg,je ne mange pas,n tɛ dún,,,,,N tɛ dumuni kɛ,ne tɛ dumuni kɛ,,,
122,simple_neg,il ne parle pas bambara,a tɛ bambara kúma,,,,,a tɛ bamanankan fɔ,a tɛ bambara fɔ,,,
123,volitif,je veux manger,n bɛ ŋàniya ka dúnli kɛ,,,,,N b'a fɛ ka dumuni kɛ,ne b'a fɛ ka dumuni kɛ,,,
124,volitif,il veut partir,a bɛ ŋàniya ka táa,,,,,a b'a fɛ ka taa,a b'a fɛ ka taa,,,
125,volitif_neg,je ne veux pas manger,n tɛ ŋàniya ka dúnli kɛ,,,,,N t'a fɛ ka dumuni kɛ,ne t'a fɛ ka dumuni kɛ,,,
126,progressif,je suis en train de manger,n bɛ kà dún,,,,,N bɛ dumuni kɛ,ne bɛ dumuni kɛ,,,
127,progressif,il est en train de parler,a bɛ kà kúma,,,,,a bɛ kuma,a bɛ kuma,,,
128,futur,je vais manger,n bɛ na dún,,,,,N bɛ taa dumuni kɛ,ne bɛ dumuni kɛ,,,
129,futur,il va partir,a bɛ na táa,,,,,a bɛ taa bɔ yen,a bɛ taa,,,
130,futur_neg,je n'irai pas,n tɛ na táa,,,,,Ne tɛna taa,ne tɛ taa,,,
131,past_neg,je n'ai pas mangé,n ma màlo dún,,,,,N ma dumuni kɛ,ne ma dumuni kɛ,,,
132,past_neg,il n'a pas parlé,a ma kúma,,,,,a ma kuma,a ma kuma,,,
133,habitude,il mangeait du riz,a tùn bɛ màlo dún,,,,,a ye tiga dun,a tun bɛ roso dun,,,
134,habitude,je travaillais,n tùn bɛ báara la,,,,,N tun bɛ baara la,ne tun bɛ baara la,,,
135,simple_purposive_coordinated,Je te donne de l'argent pour cuisiner et manger,n bɛ wárí di i ma walasa ka [cuisiner] ani ka dún,,,,,N bɛ wari di i ma i ka tobili kɛ ka dumuni kɛ,Ne bɛ wari di i ma ka dumuni tobi ani ka dumuni kɛ,,,
136,complex_comitative_relative,Je veux manger avec mon mari et ma fille qui est malade,n bɛ ŋàniya ka dún ni n fúrucɛ ni n mùsona jànkarotɔ,,,,,N b’a fɛ ka dumuni kɛ ni n cɛ ye ani n denmuso banabagatɔ,Ne b'a fɛ ka dumuni kɛ ni ne cɛ ni ne denmuso banabaatɔ ye,,,
137,verb_serial_dative,il donne le livre à l'enfant,a bɛ kitabu di dɔgɔ ma,,,,,a bɛ gafe in di den ma,a bɛ kitabu di den ma,,,
138,privative_pron,sans moi,n kɔ,,,,,ni ne tɛ yen,ni ne tɛ,,,
139,privative_clause,"sans moi, tu ne pourras pas partir","n kɔ, i tɛ na se ka táa",,,,,ni ne tɛ i tɛna se ka bɔ yen,"ni ne tɛ, i tɛ se ka taa",,,
140,privative_noun,Ce légume est sans cuisson,[légume] [cuisson]tan dòn,,,,,Nin nakɔfɛn in ye tobilikɛbali ye,O jiriden tɛ tobi,,,
141,privative_verb,il est parti sans avertir,a fáɲira [avertir]bali,,,,,a bɔra yen k'a sɔrɔ a ma lasɔmi,a taara n'a ma a lasɔmi,,,
142,privative_noun,sans eau,jítan,,,,,ji tɛ min na,ji tɛ yen,,,
143,privative_noun,sans argent,wárítan,,,,,wari tɛ min na,wari tɛ,,,
144,relative_topic_neg,Une femme qui a eu un enfant ne peut pas abandonner son enfant,"númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli",,,,,"Muso min ye den sɔrɔ, o tɛ se k’a den bila","Muso min ye den sɔrɔ, o tɛ se ka a den to yen.",,,
145,equative_relative,Les djihadistes montrent clairement qu'ils sont les maîtres du jeu,djihadistew bɛ jàbi ko ùw yé [jeu] ka kuntigɛw yé,,,,,Jihadikɛlaw b’a jira ka jɛya k’olu de ye tulon in ɲɛmɔgɔw ye,Jihadistiw y'a jira k'a jɛya ko u ye ɲɔgɔndantigɛlaw ye,,,
146,comitative,je suis avec mon mari,n ni n cɛ dòn,,,,,Ne bɛ n cɛ fɛ,ne ni n cɛ bɛ ɲɔgɔn fɛ,,,
147,comitative_genitive,Je suis avec la fille du frère de mon ami,n ni n terikɛ balimakɛ denmuso dòn,,,,,N bɛ n terikɛ balimakɛ denmuso fɛ,Ne ni n teri balimakɛ denmuso bɛ ɲɔgɔn fɛ,,,
148,comitative_action,je mange avec mon ami,n bɛ dún ni n terikɛ,,,,,N bɛ dumuni kɛ ni n terikɛ ye,ne bɛ dumuni kɛ ni n tericɛ ye,,,
149,reciprocal,nous nous aimons,an bɛ ɲɔgɔn kànu,,,,,an bɛ ɲɔgɔn kanu,an bɛ ɲɔgɔn kanu,,,
150,reciprocal,ils se battent,ùw bɛ ɲɔgɔn fàli,,,,,u bɛ kɛlɛ kɛ,u bɛ ɲɔgɔn kɛlɛ,,,
151,reciprocal,nous nous parlons,anw bɛ ɲɔgɔn kúma,,,,,an bɛ kuma ɲɔgɔn fɛ,an bɛ kuma ɲɔgɔn fɛ,,,
152,imperative,mange !,dún,,,,,ka dun!,A' ye dumuni kɛ!,,,
153,imperative,pars !,táa,,,,,ka taa!,Aw bɛ taa!,,,
154,imperative,viens !,nà,,,,,ka na!,"A' ye na, a' ye na!",,,
155,imperative,parle bambara !,bambara kúma,,,,,kuma bamanankan na!,A bɛ kuma bambara la!,,,
156,prohibitive,ne mange pas !,kàna dún,,,,,aw kana dumuni kɛ !,Aw kana dumuni kɛ!,,,
157,prohibitive,ne pars pas !,kàna táa,,,,,kana taa !,I kana taa!,,,
158,prohibitive,ne parle pas !,kàna kúma,,,,,kana kuma !,I kana kuma!,,,
159,ownership,ce sac est pour ma fille,nin jɔ̀bɔrɔ in yé n mùsoma de ta ye,,,,,nin bɔrɔ in ye n denmuso de ta ye,nin bɔrɔ ye ne denmuso de ye,,,
160,ownership_pron,Ce sac est pour moi,nin jɔ̀bɔrɔ in yé n ta ye,,,,,Nin bɔrɔ in ye ne ta ye,O bɔrɔ ye ne ta ye,,,
161,noun_phrase_alienable,la maison de mon ami,n terikɛ ka so,,,,,n terikɛ ka so,ne teri ka so,,,
162,noun_phrase_coord,la participation citoyenne et démocratique,angageman sosiyali ani lademokarasi,,,,,jamanadenw ni demokarasi sendonni,jamanadenw ni jamanadenw ka jɛɲɔgɔnya,,,
163,noun_phrase_genitive,La décision finale de la constitution du Mali,Mali dácogo làtigɛ [final],,,,,Mali sariyasunba ka latigɛ laban,Mali ka forobaciyɛn kolatigɛnin laban,,,
164,noun_phrase_genitive,le champ du vieux,kɔrɔba ka foro,,,,,cɛkɔrɔba ka foro,Cɛkɔrɔba ka foro,,,
165,noun_phrase_genitive,la mère de l'enfant,dɔgɔ ba,,,,,den ba ye,den ba,,,
166,noun_phrase_genitive,la maison de Musa,Musa ka so,,,,,Musa ka so,Musa ka so,,,
167,infinitive,Promouvoir le bambara et les autres langues nationales,ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya,,,,,Bamanankan ni fasokan wɛrɛw yiriwa,Bambara ni jamana kan wɛrɛw lafasali,,,
168,infinitive,manger du riz,ka màlo dún,,,,,tiga dun,ka dumuni kɛ,,,
169,infinitive,parler bambara,ka bambara kúma,,,,,bamanankan fɔ,bamanankan fɔli,,,
170,infinitive_neg,ne pas manger,kàna dún,,,,,ka dumuni kɛ,kana dumuni kɛ,,,
171,infinitive_list,"Promouvoir le bambara et les autres langues nationales, inclusion sociale, meilleure circulation de l'information","ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya, [inclusion] sosiyali, kùnnafoni fìsamannci ka sírakankasaara",,,,,"Bamanankan ni fasokan wɛrɛw yiriwa, sigidamɔgɔw sendonli, kunnafoniw jɛnsɛnni ka ɲɛ","Bambara ni jamana kanw lafasali, sigida jɛlenya, kunnafoniw jɛnsɛncogo ɲuman",,,
172,complex_relative,"Mais la situation reste très incertaine au Mali, qui s'enfonce toujours plus dans le chaos","nka dábolo bɛ [incertain] lámàra Mali kɔnɔ, min bɛ ɲàgàmi fɔlɔ kɔfɛ cànla la",,,,,"Nka ko in bɛ senna kosɛbɛ Mali kɔnɔ, min bɛ ka jigin ka taa a fɛ ɲagami kɔnɔ","Nka halibi, Mali ka kow tɛ jɛya kosɛbɛ, a bɛ juguya ka taa ɲɛ.",,,
173,existential_nominal_complex,Il existe un frein politique lié aux logiques de pouvoir des élites qui veulent maintenir la masse populaire à l'écart de la gouvernance,"[frein] [politique] bɛ, min bɛ [élite]w ka [logique]w la, minw bɛ ŋàniya ka [masse populaire] bìla [gouvernance] kɔrɔ",,,,,"Politiki frein dɔ bɛ yen min bɛ tali kɛ mɔgɔba dɔw ka fanga hakilina na, minnu b’a fɛ ka jamanadenw ka jamanadenw yɔrɔ janya mara la",Politiki jɔyɔrɔ dɔ bɛ yen min ɲɛsinnen bɛ fanga dɔnniyaw ma minnu b'a fɛ ka jama tanga marali ma.,,,
174,complex_noun_phrase,"Chercheur associé à l'Institut français des relations internationales, Thierry Vircoulon revient pour 20 Minutes sur la situation explosive au Mali","Thierry Vircoulon, IFRIw la kùndafɔrɔ, bɛ segin 20 Minutes ma Mali dábolo [explosif] kan",,,,,"Ɲininikalan jɛɲɔgɔn min bɛ Faransi jamanaw ni ɲɔgɔn cɛ jɛɲɔgɔnyaw la, Thierry Vircoulon seginna ka na miniti 20 kɛ Mali kɔnɔ binkanniw kan","Thierry Vircoulon, fransɛkan diɲɛ tɔnba ka sɛgɛsɛgɛlikɛla dɔ ye, a bɛ segin 20 Minutes kan Mali ka banakɔnɔma ko kan",,,
175,complex_purposive,"L'université de Kumamoto recrute actuellement des participants pour le Programme d'apprentissage coopératif japonais, ainsi que des étudiants japonais pour la soutenir","Kumamoto lakɔli bɛ kàlandenw wele sísàn japɔnikan [coopératif] kàlanso la, ani japɔni kalandenw ka a dɛmɛ",,,,,"Kumamoto Iniwɛrisite bɛ ka mɔgɔ dɔw ta Japon jɛ-ka-baara kalan bolodalen na sisan, ka fara Japon kalandenw kan walasa k’a dɛmɛ","Kumamoto kalanso bɛ mɔgɔ dɔw sugandi sisan ka na dɛmɛ don Zapɔn ka baarakɛɲɔgɔn kalanko kan, ani Zapɔn kalanden dɔw fana ka na dɛmɛ don",,,
176,locative_adv,les gens sont ici,ɲàmakalaw bɛ yàn,,,,,mɔgɔw bɛ yan,môgôw bè yan,,,
177,locative_adv,il est là,a bɛ yèn,,,,,a bɛ yen,a bɛ yan,,,
178,nummod_subject,deux hommes sont partis,mɔ̀gɔw fila fáɲira,,,,,cɛ fila bɔra yen,cɛ fila taara,,,
179,nummod_subject,trois enfants mangent du riz,dénw saba bɛ iri dún,,,,,den saba bɛ tiga dun,Denmisɛn saba bɛ pɔri dun,,,
180,nummod_locative,cinq femmes sont ici,númanfɛlakaw duuru bɛ yàn,,,,,muso duuru de bɛ yan,muso duuru bɛ yan,,,
181,nummod_object,j'ai acheté deux livres,n yé kìtabuw fila sàn,,,,,N ye gafe fila san,ne ye kitabu fila san,,,
182,intrans_action_progressif,je suis en train de travailler,n bɛ kà báara kɛ,,,,,Ne bɛ baara la,ne bɛ baara la,,,
183,intrans_action_present_neg,je ne travaille pas,n tɛ báara la,,,,,Ne t baara k,ne tɛ baara kɛ,,,
