#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut
52,relative_topic,L'homme que tu as vu hier est parti,"i yé cɛ mìn yé kúnùn, o fáɲira",,
53,noun_phrase_have_material,J'ai de l'argent,wárí bɛ n bóló,,
54,noun_phrase_have_material,il a une voiture,[voiture] bɛ a bóló,,
55,noun_phrase_have_material_plur,Ils ont des voitures,móbiliw bɛ ùw bóló,,
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,,
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,,
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,,
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,,
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,,
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,,
62,volitif,J'aime manger,n bɛ dún fɛ,,
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,,
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,,
65,existential_absolute,Il y'a du pain,búuru bɛ,,
66,existential_absolute,il y a un problème,[problème] bɛ,,
67,existential_absolute,il y a du travail,baaraw bɛ,,
68,existential_absolute_neg,il n'y a pas de pain,búuru tɛ,,
69,existential_localized_neg,il n'y a personne dans le village,mɔgɔ tɛ dugu kɔnɔ,,
70,existential_localized,Il y a de l'eau dans la bouteille,jí bɛ bútèli kɔnɔ,,
71,existential_localized,Il y a des gens ici,mɔgɔw bɛ yàn,,
72,existential_localized_neg,Il n'y a personne ici,mɔgɔw tɛ yàn,,
73,existential_localized,il y a des enfants dans la maison,dɔgɔw bɛ so kɔnɔ,,
74,existential_localized_neg,il n'y a pas d'eau dans la bouteille,jí tɛ bútèli kɔnɔ,,
75,identificatory,C'est moi,n dòn,,
76,identificatory_appos,C'est moi Hawa,n de Hawa yé,,
77,identificatory_neg,Ce n'est pas moi,n tɛ,,
78,presentative,c'est Musa,Musa dòn,,
79,presentative_plur,Ce sont mes frères et sœurs,n bálimaw dòn,,
80,identificatory,c'est lui,a dòn,,
81,identificatory_neg,ce n'est pas lui,a tɛ,,
82,identificatory,c'est nous,anw dòn,,
83,deictique,Voilà la voiture,[voiture] félé,,
84,deictique_plur,Voilà les voitures,[voiture]w félé,,
85,deictique,Voilà Musa,Musa félé,,
86,deictique,Voilà l'eau,jí félé,,
87,interrogative,Parles-tu bambara ?,i bɛ bambara kúma wà ?,,
88,interrogative_motion,Allez-vous au marché ?,[vous] bɛ wá súgu la wà ?,,
89,interrogative_question_marker,Est-ce que ça va vraiment bien ?,o bɛ wá kóɲuman nɛ̀fɛ wà ?,,
90,interrogative_question_marker,Est-ce que tes frères et sœurs sont ici ?,Yala i bálimakɛw ni i balimamusow bɛ yàn wà ?,,
91,interrogative_alternative,Tu veux du poisson ou bien tu veux de la viande ?,i bɛ jɛ́gɛ ŋàniya wàwá i bɛ sògo ŋàniya ?,,
92,interrogative_alternative,Tu veux des arachides ou bien tu veux des patates douces ?,i bɛ tìgan ŋàniya wàwá i bɛ [patate douce] ŋàniya ?,,
93,interrogative,il mange ?,a bɛ dún wà ?,,
94,interrogative,tu as de l'argent ?,wárí bɛ i bóló wà ?,,
95,interrogative,elle est à la maison ?,a bɛ so la wà ?,,
96,interrogative_modal_xcomp,peut-il manger de la viande ?,a bɛ se ka sògo dún wà ?,,
97,content_question_who,Qui fait la bagarre ?,jɔn bɛ bìlen dími ?,,
98,content_question_who_inversion,Qui aimez-vous ?,[vous] bɛ jɔn kànu ?,,
99,content_question_who_inversion,Qui aiment-ils ?,[ils] bɛ jɔn kànu ?,,
100,content_question_what,Tu manges quoi ?,i bɛ mún dún ?,,
101,content_question_what,Tu veux quoi ?,i bɛ mún ŋàniya ?,,
102,content_question_what,il mange quoi ?,a bɛ mún dún ?,,
103,content_question_where,Où allez-vous ?,[vous] bɛ wá mín ?,,
104,content_question_where,où est Musa ?,Musa bɛ mín ?,,
105,content_question_when,Quand viens-tu ?,i bɛ nà túma jùmɛn ?,,
106,content_question_when,quand pars-tu ?,i bɛ táa túma jùmɛn ?,,
107,content_question_why,Pourquoi pleures-tu ?,i bɛ kàsi mún kósɔn ?,,
108,content_question_why,pourquoi il mange ?,a bɛ dún mún kósɔn ?,,
109,content_question_how,Comment t'appelles-tu ?,i bɛ kánbìla cógo dǐ ?,,
110,content_question_how,Comment cela se fait-il ?,o bɛ dími cógo dǐ ?,,
111,content_question_which_noun,Quelle femme ?,númanfɛlaka jùmɛn ?,,
112,content_question_which,Tu veux quelle maison ?,i bɛ só jùmɛn ŋàniya ?,,
113,content_question_how_much,Ça coûte combien ?,wárí jóli bɛ à la ?,,
114,content_question_how_much,tu as combien d'enfants ?,dɔgɔ jóli bɛ i fɛ ?,,
115,simple,je mange du riz,n bɛ màlo dún,,
116,simple,tu bois de l'eau,i bɛ jí mìn,,
117,simple,il parle bambara,a bɛ bambara kúma,,
118,simple,elle chante,a bɛ donkili dón,,
119,simple_plur,nous travaillons,anw bɛ báara la,,
120,simple_plur,ils mangent du riz,ùw bɛ màlo dún,,
121,simple_neg,je ne mange pas,n tɛ dún,,
122,simple_neg,il ne parle pas bambara,a tɛ bambara kúma,,
123,volitif,je veux manger,n bɛ dún fɛ,,
124,volitif,il veut partir,a bɛ táa fɛ,,
125,volitif_neg,je ne veux pas manger,n tɛ dún fɛ,,
126,progressif,je suis en train de manger,n bɛ kà dún,,
127,progressif,il est en train de parler,a bɛ kà kúma,,
128,futur,je vais manger,n bɛ na dún,,
129,futur,il va partir,a bɛ na táa,,
130,futur_neg,je n'irai pas,n tɛ na táa,,
131,past_neg,je n'ai pas mangé,n ma màlo dún,,
132,past_neg,il n'a pas parlé,a ma kúma,,
133,habitude,il mangeait du riz,a tùn bɛ màlo dún,,
134,habitude,je travaillais,n tùn bɛ báara la,,
135,simple_purposive_coordinated,Je te donne de l'argent pour cuisiner et manger,n bɛ wárí di i ma walasa ka [cuisiner] ani ka dún,,
136,complex_comitative_relative,Je veux manger avec mon mari et ma fille qui est malade,n bɛ ŋàniya ka dún ni n fúrucɛ ni n mùsona jànkarotɔ,,
137,verb_serial_dative,il donne le livre à l'enfant,a bɛ kitabu di dɔgɔ ma,,
138,privative_pron,sans moi,n kɔ,,
139,privative_clause,"sans moi, tu ne pourras pas partir","n kɔ, i tɛ na se ka táa",,
140,privative_noun,Ce légume est sans cuisson,[légume] [cuisson]tan dòn,,
141,privative_verb,il est parti sans avertir,a fáɲira [avertir]bali,,
142,privative_noun,sans eau,jítan,,
143,privative_noun,sans argent,wárítan,,
144,relative_topic_neg,Une femme qui a eu un enfant ne peut pas abandonner son enfant,"númanfɛlaka mìn yé dén sɔrɔ, o tɛ se ka a dén láfìli",,
145,equative_relative,Les djihadistes montrent clairement qu'ils sont les maîtres du jeu,djihadistew bɛ jàbi ko ùw yé [jeu] ka kuntigɛw yé,,
146,comitative,je suis avec mon mari,n ni n cɛ dòn,,
147,comitative_genitive,Je suis avec la fille du frère de mon ami,n ni n terikɛ balimakɛ denmuso dòn,,
148,comitative_action,je mange avec mon ami,n bɛ dún ni n terikɛ,,
149,reciprocal,nous nous aimons,an bɛ ɲɔgɔn kànu,,
150,reciprocal,ils se battent,ùw bɛ ɲɔgɔn fàli,,
151,reciprocal,nous nous parlons,anw bɛ ɲɔgɔn kúma,,
152,imperative,mange !,dún,,
153,imperative,pars !,táa,,
154,imperative,viens !,nà,,
155,imperative,parle bambara !,bambara kúma,,
156,prohibitive,ne mange pas !,kàna dún,,
157,prohibitive,ne pars pas !,kàna táa,,
158,prohibitive,ne parle pas !,kàna kúma,,
159,ownership,ce sac est pour ma fille,nin jɔ̀bɔrɔ in yé n mùsoma de ta ye,,
160,ownership_pron,Ce sac est pour moi,nin jɔ̀bɔrɔ in yé n ta ye,,
161,noun_phrase_alienable,la maison de mon ami,n terikɛ ka so,,
162,noun_phrase_coord,la participation citoyenne et démocratique,angageman sosiyali ani lademokarasi,,
163,noun_phrase_genitive,La décision finale de la constitution du Mali,Mali dácogo làtigɛ [final],,
164,noun_phrase_genitive,le champ du vieux,kɔrɔba ka foro,,
165,noun_phrase_genitive,la mère de l'enfant,dɔgɔ ba,,
166,noun_phrase_genitive,la maison de Musa,Musa ka so,,
167,infinitive,Promouvoir le bambara et les autres langues nationales,ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya,,
168,infinitive,manger du riz,ka màlo dún,,
169,infinitive,parler bambara,ka bambara kúma,,
170,infinitive_neg,ne pas manger,kàna dún,,
171,infinitive_list,"Promouvoir le bambara et les autres langues nationales, inclusion sociale, meilleure circulation de l'information","ka bambara wɛ́rɛ nɛ̀n Nasiyonali kìsɛya, [inclusion] sosiyali, kùnnafoni fìsamannci ka sírakankasaara",,
172,complex_relative,"Mais la situation reste très incertaine au Mali, qui s'enfonce toujours plus dans le chaos","nka dábolo bɛ [incertain] lámàra Mali kɔnɔ, min bɛ ɲàgàmi fɔlɔ kɔfɛ cànla la",,
173,existential_nominal_complex,Il existe un frein politique lié aux logiques de pouvoir des élites qui veulent maintenir la masse populaire à l'écart de la gouvernance,"[frein] [politique] bɛ, min bɛ [élite]w ka [logique]w la, minw bɛ ŋàniya ka [masse populaire] bìla [gouvernance] kɔrɔ",,
174,complex_noun_phrase,"Chercheur associé à l'Institut français des relations internationales, Thierry Vircoulon revient pour 20 Minutes sur la situation explosive au Mali","Thierry Vircoulon, IFRIw la kùndafɔrɔ, bɛ segin 20 Minutes ma Mali dábolo [explosif] kan",,
175,complex_purposive,"L'université de Kumamoto recrute actuellement des participants pour le Programme d'apprentissage coopératif japonais, ainsi que des étudiants japonais pour la soutenir","Kumamoto lakɔli bɛ kàlandenw wele sísàn japɔnikan [coopératif] kàlanso la, ani japɔni kalandenw ka a dɛmɛ",,
176,locative_adv,les gens sont ici,ɲàmakalaw bɛ yàn,,
177,locative_adv,il est là,a bɛ yèn,,
178,nummod_subject,deux hommes sont partis,mɔ̀gɔw fila fáɲira,,
179,nummod_subject,trois enfants mangent du riz,dénw saba bɛ iri dún,,
180,nummod_locative,cinq femmes sont ici,númanfɛlakaw duuru bɛ yàn,,
181,nummod_object,j'ai acheté deux livres,n yé kìtabuw fila sàn,,
182,intrans_action_progressif,je suis en train de travailler,n bɛ kà báara kɛ,,
183,intrans_action_present_neg,je ne travaille pas,n tɛ báara la,,
184,intrans_action_passe_pos,j'ai travaillé,n yé báara kɛ,,
185,intrans_action_passe_neg,je n'ai pas travaillé,n ma báara kɛ,,
186,intrans_action_hab_neg,je ne travaillais pas,n tùn tɛ báara la,,
187,intrans_action_futur,je travaillerai,n bɛ na báara kɛ,,
188,temporal_subordinator,quand il vient,tuma min a bɛ nà,,
189,reported_comparative,les bambara disent que la raison de la venue de quelqu'un est plus importante que soi-même,bambaraw bɛ fɔ ko mɔ̀gɔ dɔ jɔ̀kun ka kólogirinman ka tɛmɛ yɛrɛ kan,,
190,optatif,que tu viennes,i ka nà,,
191,optatif,que Moussa mange,Moussa ka dún,,
192,optatif_coi,que Dieu t'aide,Ala ka i dɛmɛ,,
193,venir_de_propn,Je viens de Bamako,n bɔra Bamako,,
194,venir_de_noun,Je viens de l'école,n bɔra kàlankɛyɔrɔ la,,
195,venir_de_verbe,Je viens de manger,n bɔra ka dumuni kɛ,,
196,venir_de_verbe,Il vient de partir,a bɔra ka táa,,
197,conj_avec_locatif,elle alla au village et demande des infos,a yé wá dùgu la wa a yé ɛnfo ɲɛ́juguya,,
198,verb_serial_conj,elle alla trouver et demande des informations,a táara ɲɛ́sɔ̀rɔ wa a yé kùnnafoniw ɲɛ́juguya,,
199,comitative_motion,il est venu avec moi,a nàra ni n yé,,
200,comitative_travail,elle travaille avec lui,a bɛ báara ni a yé,,
201,comitative_adj,Il est venu avec une dentition complète,a nàra ni dákolon dafaleninman yé,,
